team,elo,wins,draws,losses,best_win_name,best_win_elo,rank
Italy,1539.991956254121,4,0,0,Hungary,1529.7205315838,1
Hungary,1519.728575329679,3,0,1,Sweden,1510.28774368332,2
Brazil,1519.7285692279888,3,1,1,Czechoslovakia,1510,3
Switzerland,1500,1,1,1,Germany,1500,4
France,1500,1,0,1,Belgium,1500,5
Czechoslovakia,1500,1,1,1,Netherlands,1500,6
Cuba,1499.71225631668,1,1,1,Romania,1500,7
Sweden,1490.8386428715312,1,0,2,Cuba,1510,8
Germany,1490,0,1,1,NA,NA,9
Dutch East Indies,1490,0,0,1,NA,NA,10
Belgium,1490,0,0,1,NA,NA,11
Romania,1490,0,1,1,NA,NA,12
Norway,1490,0,0,1,NA,NA,13
Poland,1490,0,0,1,NA,NA,14
Netherlands,1490,0,0,1,NA,NA,15
