team,elo,wins,draws,losses,best_win_name,best_win_elo,rank
Germany FR,1549.416805837431,6,0,1,Netherlands,1548.0516897227772,1
Poland,1546.4267736363527,6,0,1,Brazil,1519.4264188742798,2
Netherlands,1537.7958499672939,5,1,1,Brazil,1529.1630646440285,3
Brazil,1509.929790825754,3,2,2,German DR,1519.7127324054748,4
Scotland,1509.71225631668,1,2,0,Zaire,1500,5
Sweden,1501.077291165762,2,2,2,Yugoslavia,1490.8104352079454,6
Italy,1499.7127324054748,1,1,1,Haiti,1500,7
German DR,1499.4577039335252,2,2,2,Germany FR,1519.4249887221547,8
Chile,1490.2872675945252,0,2,1,NA,NA,9
Bulgaria,1490,0,2,1,NA,NA,10
Argentina,1482.2014325082525,1,2,3,Haiti,1480.5750112778453,11
Australia,1480.8627549611654,0,1,2,NA,NA,12
Yugoslavia,1480.8183435588126,1,2,3,Zaire,1490,13
Uruguay,1480.5754873666401,0,1,2,NA,NA,14
Zaire,1470.8627549611654,0,0,3,NA,NA,15
Haiti,1470.8627549611654,0,0,3,NA,NA,16
