team,elo,wins,draws,losses,best_win_name,best_win_elo,rank
Brazil,1549.136797880155,5,1,0,Sweden,1538.5868091040222,1
Sweden,1528.6031081637025,4,1,1,Germany FR,1519.1620770717,2
France,1519.713643504668,4,0,2,Northern Ireland,1509.7458325945063,3
Paraguay,1500.5754873666401,1,1,1,Scotland,1500,4
Wales,1500.5584873622115,1,3,1,Hungary,1500.28774368332,5
Soviet Union,1499.9834760843662,2,1,2,England,1499.7127324054748,6
Yugoslavia,1499.9751679671347,1,2,1,France,1510,7
Northern Ireland,1499.7365842652353,2,1,2,Czechoslovakia,1500.8627549611654,8
Germany FR,1499.4493777118214,2,2,2,Yugoslavia,1510,9
Czechoslovakia,1490.8296547721338,1,1,2,Argentina,1500.5750112778453,10
Hungary,1490.2877299803831,1,1,2,Mexico,1490.28774368332,11
Argentina,1490.2872675945252,1,0,2,Northern Ireland,1510,12
England,1489.7127187025378,0,3,1,NA,NA,13
Austria,1480.8627549611654,0,1,2,NA,NA,14
Mexico,1480.28774368332,0,1,2,NA,NA,15
Scotland,1480,0,1,2,NA,NA,16
