team,elo,wins,draws,losses,best_win_name,best_win_elo,rank
Uruguay,1539.9915508808067,4,0,0,Argentina,1539.1468376007779,1
Argentina,1528.8755865906833,4,0,1,USA,1519.71225631668,2
USA,1509.991777837569,2,0,1,Belgium,1500,3
Yugoslavia,1509.712494689702,2,0,1,Brazil,1500,4
Chile,1509.4245673545686,2,0,1,France,1499.71225631668,5
Paraguay,1500.2794617562658,1,0,1,Belgium,1490,6
Brazil,1500.0082819270542,1,0,1,Bolivia,1490.28774368332,7
Romania,1499.9917180729458,1,0,1,Peru,1500,8
France,1490,1,0,2,Mexico,1500,9
Peru,1480.28774368332,0,0,2,NA,NA,10
Bolivia,1480.2794617562658,0,0,2,NA,NA,11
Belgium,1480.0082819270542,0,0,2,NA,NA,12
Mexico,1471.1490735237644,0,0,3,NA,NA,13
