team,elo,wins,draws,losses,best_win_name,best_win_elo,rank
Brazil,1540.3987378323072,4,3,0,Italy,1527.1768032039301,1
Argentina,1538.9050677500425,5,1,1,Netherlands,1520.5250041797547,2
Italy,1517.272283169716,4,1,2,Argentina,1519.4249887221547,3
Netherlands,1510.7732972029985,3,2,2,Italy,1537.9888571498666,4
Poland,1509.1872486215984,3,1,2,Tunisia,1510,5
Scotland,1500.5750112778453,1,1,1,Netherlands,1510,6
Austria,1500.3017017131715,3,0,3,Germany FR,1509.9910444733705,7
Spain,1500.28774368332,1,1,1,Sweden,1490.28774368332,8
Tunisia,1500,1,1,1,Mexico,1500,9
Germany FR,1499.4082260196476,1,4,1,Mexico,1490,10
France,1490.5750112778453,1,0,2,Hungary,1480.5750112778453,11
Iran,1490.28774368332,0,0,1,NA,NA,12
Peru,1490.0160992832577,2,1,3,Scotland,1500,13
IR Iran,1490,0,1,1,NA,NA,14
Sweden,1480.28774368332,0,1,2,NA,NA,15
Mexico,1471.1490735237644,0,0,3,NA,NA,16
Hungary,1470.5750112778453,0,0,3,NA,NA,17
