team,elo,wins,draws,losses,best_win_name,best_win_elo,rank
Brazil,1548.3316340912795,5,1,0,Czechoslovakia,1520.0179122700924,1
Chile,1519.9836938469668,4,0,2,Soviet Union,1519.1372450388346,2
Czechoslovakia,1510.5600966626077,3,1,2,Yugoslavia,1520.5667497029592,3
Germany FR,1509.720517891566,2,1,1,Chile,1519.71225631668,4
Soviet Union,1508.8577629304007,2,1,1,Yugoslavia,1500,5
Hungary,1508.2832483310378,2,1,1,England,1500,6
Yugoslavia,1500.2462190925362,3,0,3,Germany FR,1520,7
Argentina,1500,1,1,1,Bulgaria,1500,8
Italy,1500,1,1,1,Switzerland,1480.28774368332,9
Mexico,1490.8613298404443,1,0,2,Czechoslovakia,1510,10
England,1490.56675634087,1,1,2,Argentina,1510,11
Spain,1490.28774368332,1,0,2,Mexico,1490,12
Uruguay,1489.7127324054748,1,0,2,Colombia,1500,13
Bulgaria,1481.1500225556906,0,1,2,NA,NA,14
Colombia,1480.8627549611654,0,1,2,NA,NA,15
Switzerland,1470.5754873666401,0,0,3,NA,NA,16
