team,elo,wins,draws,losses,best_win_name,best_win_elo,rank
Uruguay,1530.789426805178,3,1,0,Brazil,1539.3928249562912,1
Brazil,1528.8420823165513,4,1,1,Spain,1528.3079631940209,2
Yugoslavia,1509.1372450388346,2,0,1,Switzerland,1500,3
Spain,1507.5348972436161,3,1,2,USA,1500,4
Sweden,1501.1085598011186,2,1,2,Spain,1518.3401132682936,5
Italy,1500.2960185560382,1,0,1,Paraguay,1500.28774368332,6
Switzerland,1500.2872675945252,1,1,1,Mexico,1480.5750112778453,7
Chile,1491.1500225556906,1,0,2,USA,1500.5750112778453,8
England,1490,1,0,2,Chile,1500,9
USA,1490,1,0,2,England,1510,10
Bolivia,1490,0,0,1,NA,NA,11
Paraguay,1489.9917251272818,0,1,1,NA,NA,12
Mexico,1470.8627549611654,0,0,3,NA,NA,13
