team,elo,wins,draws,losses,best_win_name,best_win_elo,rank
Italy,1540.7558089812526,4,3,0,Brazil,1538.0169686391594,1
England,1527.2278823257257,3,2,0,France,1500,2
Brazil,1527.220547689419,4,0,1,Scotland,1510,3
Poland,1520.2946224450002,3,3,1,France,1520.2771531470912,4
Germany FR,1511.0543874409025,3,2,2,Austria,1520,5
Soviet Union,1510.5352967891322,2,2,1,Belgium,1508.5953096945213,6
France,1509.9814068248618,3,2,2,Northern Ireland,1509.9673921679653,7
Algeria,1509.4249887221547,2,0,1,Germany FR,1500,8
Yugoslavia,1500.28774368332,1,1,1,Honduras,1500,9
Hungary,1500,1,1,1,El Salvador,1500,10
Scotland,1500,1,1,1,New Zealand,1500,11
Cameroon,1500,0,3,0,NA,NA,12
Northern Ireland,1499.976136643952,1,3,1,Spain,1510,13
Austria,1499.4741337786481,2,1,2,Algeria,1510,14
Belgium,1498.347967253344,2,1,2,Argentina,1500,15
Spain,1491.1374260707864,1,2,2,Yugoslavia,1500,16
Czechoslovakia,1490.5754873666401,0,2,1,NA,NA,17
Argentina,1490.5490550022748,2,0,3,Hungary,1510,18
Peru,1490,0,2,1,NA,NA,19
Honduras,1489.71225631668,0,2,1,NA,NA,20
Kuwait,1480.5735861571243,0,1,2,NA,NA,21
El Salvador,1471.1500225556906,0,0,3,NA,NA,22
New Zealand,1471.1462326752458,0,0,3,NA,NA,23
Chile,1470.5750112778453,0,0,3,NA,NA,24
