team,elo,wins,draws,losses,best_win_name,best_win_elo,rank
England,1549.6650474122546,5,1,0,Germany FR,1539.6801849745523,1
Portugal,1537.7975021306793,5,0,1,Soviet Union,1528.3244379278724,2
Germany FR,1529.6797363685682,4,1,1,Soviet Union,1538.588371450853,3
Soviet Union,1518.308822048019,4,0,2,Italy,1510,4
Argentina,1509.1469110683663,2,1,1,Spain,1500,5
Hungary,1500.5502987087027,2,0,2,Brazil,1510,6
Uruguay,1499.720993587263,1,2,1,France,1500,7
Korea DPR,1491.107983883877,1,1,2,Italy,1500,8
Mexico,1490.5750112778453,0,2,1,NA,NA,9
Spain,1490.28774368332,1,0,2,Switzerland,1490,10
Brazil,1490,1,0,2,Bulgaria,1500,11
Italy,1489.71225631668,1,0,2,Chile,1500,12
Chile,1480.8613298404443,0,1,2,NA,NA,13
France,1480.5750112778453,0,1,2,NA,NA,14
Bulgaria,1471.1500225556906,0,0,3,NA,NA,15
Switzerland,1470.8613298404443,0,0,3,NA,NA,16
