rank,team,games,wins,losses,best_win_name,best_win_rating,resume_score,team_elo
190,Murray State,2,0,2,NA,0,0,575.4502998062984
191,New Hampshire,1,0,1,NA,0,0,179.89159013712904
192,Nicholls State,2,0,2,NA,0,0,689.0139438040347
193,Norfolk State,1,0,1,NA,0,0,180.86985210453753
194,North Alabama,1,0,1,NA,0,0,180.33749632571042
195,North Carolina A&T,1,0,1,NA,0,0,179.47760661550433
196,North Carolina Central,1,0,1,NA,0,0,179.1599930443382
197,North Dakota,1,0,1,NA,0,0,184.6083360438927
198,Northern Arizona,1,0,1,NA,0,0,181.59842183657818
199,Northern Colorado,1,0,1,NA,0,0,181.89889937924028
200,Northern Iowa,1,0,1,NA,0,0,180.08131948242624
201,Northwestern State,2,0,2,NA,0,0,685.7491987443701
202,Portland State,2,0,2,NA,0,0,694.1887873844653
203,Prairie View A&M,1,0,1,NA,0,0,179.41792896304122
204,Rhode Island,1,0,1,NA,0,0,179.061823181927
205,Richmond,1,0,1,NA,0,0,178.86345675155752
206,Robert Morris,1,0,1,NA,0,0,179.47189176350932
207,Sacramento State,1,0,1,NA,0,0,183.6086132277747
208,Samford,2,0,2,NA,0,0,702.5814786238687
209,South Carolina State,2,0,2,NA,0,0,694.2119612266415
210,South Dakota,1,0,1,NA,0,0,180.3673452483296
211,Southeast Missouri State,1,0,1,NA,0,0,181.02835025278245
212,Southeastern Louisiana,2,0,2,NA,0,0,699.0867608318571
213,Southern,1,0,1,NA,0,0,180.4044696564789
214,Southern Illinois,1,0,1,NA,0,0,181.18360731825973
215,St. Francis (PA),2,0,2,NA,0,0,589.5032384465285
216,Stephen F. Austin,1,0,1,NA,0,0,181.01512038342375
217,Stony Brook,1,0,1,NA,0,0,180.0533953870411
218,Tennessee Tech,1,0,1,NA,0,0,180.85579776945596
219,Tennessee-Martin,3,0,3,NA,0,0,516.0591375687799
220,Texas Southern,1,0,1,NA,0,0,180.86300127508426
221,Towson,1,0,1,NA,0,0,181.74764971965763
222,Villanova,1,0,1,NA,0,0,182.25533860355483
223,Virginia Military Institute,1,0,1,NA,0,0,180.1533745984886
224,Wagner,2,0,2,NA,0,0,669.1949634462405
225,Weber State,2,0,2,NA,0,0,700.613683132981
226,Western Carolina,1,0,1,NA,0,0,180.7878658134647
227,Western Illinois,2,0,2,NA,0,0,686.2802040389096
228,William & Mary,1,0,1,NA,0,0,180.98803466477057
229,Wofford,1,0,1,NA,0,0,176.91101682077942
230,Youngstown State,1,0,1,NA,0,0,182.3711137353414
