rank,team,games,wins,losses,best_win_name,best_win_rating,resume_score,team_elo
1,Alabama,14,13,1,Notre Dame,2282.8732609119297,21078.306913625653,2444.580420498521
2,Stanford,14,12,2,Oregon,2336.456229076064,20030.954473514284,2225.4110916710415
3,Notre Dame,13,12,1,Stanford,2225.4110916710415,19708.842319683732,2282.8732609119297
4,Florida,13,11,2,Texas A&M,2300.5441122063457,18896.6478992462,2220.5658770428263
5,Ohio State,12,12,0,Wisconsin,1915.3812977980342,18285.249365523472,2334.1012562964233
6,Oregon,13,12,1,Kansas State,2054.1095799352724,17735.88425503371,2336.456229076064
7,Georgia,14,12,2,Florida,2220.5658770428263,17620.63038174,2215.4461012062397
8,Texas A&M,13,11,2,Alabama,2444.580420498521,17165.894635919874,2300.5441122063457
9,Kansas State,13,11,2,Oklahoma,2072.7830924222835,17137.03763821459,2054.1095799352724
10,South Carolina,13,11,2,Georgia,2215.4461012062397,16412.16357857369,2209.218688849619
11,Florida State,14,12,2,Clemson,1999.1879382836623,15704.620620028025,2152.804932645106
12,Nebraska,14,10,4,Wisconsin,1915.3812977980342,15208.608268576942,1902.526411366802
13,Louisiana State,13,10,3,Texas A&M,2300.5441122063457,15053.429422063118,2170.1123909861685
14,Louisville,13,11,2,Florida,2220.5658770428263,14783.822259473716,1843.807105735751
15,Oklahoma,13,10,3,Baylor,1915.3376110456088,14624.03998329369,2072.7830924222835
16,Clemson,13,11,2,Louisiana State,2170.1123909861685,14618.644392733588,1999.1879382836623
17,Tulsa,14,11,3,Central Florida,1754.6033478715583,13982.050301308494,1692.9704892019522
18,Northern Illinois,14,12,2,Kent State,1661.3092932935692,13965.398376743186,1910.8398037528364
19,Texas,13,9,4,Oregon State,1918.1951176183757,13905.531795050447,1899.7995316486245
20,Oregon State,13,9,4,Wisconsin,1915.3812977980342,13625.96171169483,1918.1951176183757
21,Northwestern,13,10,3,Vanderbilt,1826.6319038276908,13388.730722119819,1865.139359654767
22,UCLA,14,9,5,Nebraska,1902.526411366802,13288.038956053586,1808.031869247611
23,Utah State,13,11,2,San Jose State,1940.9240324862294,13088.9594931216,2044.4482961910817
24,San Jose State,13,11,2,Brigham Young,1765.9100774541503,12925.265517287251,1940.9240324862294
25,Kent State,14,11,3,Ball State,1649.6519540611803,12879.498485721064,1661.3092932935692
26,Boise State,13,11,2,Brigham Young,1765.9100774541503,12858.26322517396,1781.5856381817987
27,Baylor,13,8,5,Kansas State,2054.1095799352724,12169.035564126641,1915.3376110456088
28,Arkansas State,13,10,3,Kent State,1661.3092932935692,11837.772340619013,1763.8971210866916
29,Penn State,12,8,4,Wisconsin,1915.3812977980342,11711.24562787556,1851.0609878596479
30,Syracuse,13,8,5,Louisville,1843.807105735751,11511.381027797517,1750.6738644622085
31,Vanderbilt,13,9,4,Mississippi,1807.209278121933,11498.629749353746,1826.6319038276908
32,Central Florida,14,10,4,Ball State,1649.6519540611803,11484.384885968035,1754.6033478715583
33,Oklahoma State,13,8,5,Texas Christian,1758.925826818484,11422.242745075568,1881.6911100074835
34,Cincinnati,13,10,3,Syracuse,1750.6738644622085,11367.020864074088,1722.8493074761934
35,Arizona,13,8,5,Oklahoma State,1881.6911100074835,11238.232138149828,1749.5883767773048
36,Wisconsin,14,8,6,Utah State,2044.4482961910817,10973.198828013017,1915.3812977980342
37,Ball State,13,9,4,Toledo,1640.5422363016703,10944.97120113884,1649.6519540611803
38,Michigan,13,8,5,Northwestern,1865.139359654767,10935.196070759519,1878.2066704288306
39,Rutgers,13,9,4,Syracuse,1750.6738644622085,10687.381732183938,1545.1455650788566
40,Michigan State,13,7,6,Wisconsin,1915.3812977980342,10431.478160342183,1761.4212490869784
41,Arizona State,13,8,5,Arizona,1749.5883767773048,10133.862527835505,1736.8256323164978
42,Texas Tech,13,8,5,Texas Christian,1758.925826818484,10110.372361098589,1707.5997056869394
43,Louisiana,13,9,4,East Carolina,1401.6174994353835,9963.344122907549,1576.403840922951
44,Southern California,13,7,6,Syracuse,1750.6738644622085,9818.291509413206,1726.7665247195819
45,Toledo,13,9,4,Cincinnati,1722.8493074761934,9752.643817528016,1640.5422363016703
46,Middle Tennessee State,12,8,4,Georgia Tech,1693.7294509649307,9645.988049554386,1481.2482443488364
47,Louisiana Tech,12,9,3,Rice,1420.0824877623031,9595.541267702289,1721.419259663534
48,Brigham Young,13,8,5,Utah State,2044.4482961910817,9543.229353561883,1765.9100774541503
49,Fresno State,13,9,4,San Diego State,1516.8001890136609,9538.394542542974,1530.0618190428856
50,Washington,13,7,6,Stanford,2225.4110916710415,9535.588290821102,1670.0314980231592
51,Texas Christian,13,7,6,Baylor,1915.3376110456088,9464.50613829455,1758.925826818484
52,North Carolina,12,8,4,Miami (FL),1722.228583547193,9446.084293634422,1625.2348234271785
53,Louisiana-Monroe,13,8,5,Arkansas,1501.5100928331992,9413.002696104099,1400.880774542346
54,San Diego State,13,9,4,Boise State,1781.5856381817987,9309.694588896533,1516.8001890136609
55,Mississippi State,13,8,5,Tennessee,1518.6772637446174,9252.68695547832,1680.2142667806158
56,Virginia Tech,13,7,6,Georgia Tech,1693.7294509649307,9025.648028619995,1566.2868301079714
57,West Virginia,13,7,6,Baylor,1915.3376110456088,9018.551737801241,1622.2638083845193
58,Ohio,13,9,4,Penn State,1851.0609878596479,8931.735348058899,1500.8649426752634
59,Georgia Tech,14,7,7,Southern California,1726.7665247195819,8873.841363707292,1693.7294509649307
60,Navy,13,8,5,East Carolina,1401.6174994353835,8398.473042149124,1451.086410126062
61,Miami (FL),12,7,5,Georgia Tech,1693.7294509649307,8302.341747708999,1722.228583547193
62,Mississippi,13,7,6,Mississippi State,1680.2142667806158,8073.3993840877265,1807.209278121933
63,Southern Methodist,13,7,6,Tulsa,1692.9704892019522,7987.084892525913,1584.1023966374548
64,Iowa State,13,6,7,Baylor,1915.3376110456088,7975.947008749301,1600.0756967402315
65,Western Kentucky,13,7,6,Arkansas State,1763.8971210866916,7940.422778059396,1316.932442840935
66,North Carolina State,13,7,6,Florida State,2152.804932645106,7759.142235901221,1333.9294912804025
67,Rice,13,7,6,Southern Methodist,1584.1023966374548,7619.26815794413,1420.0824877623031
68,East Carolina,13,8,5,Houston,1239.7920640838538,7299.202572341107,1401.6174994353835
69,Bowling Green,13,8,5,Ohio,1500.8649426752634,7177.341798805582,1486.395847608179
70,Nevada,13,7,6,California,1374.1113902177012,6976.485917149332,1296.8649157346306
71,Pittsburgh,13,6,7,Virginia Tech,1566.2868301079714,6862.6509165956395,1516.2229685838035
72,Missouri,12,5,7,Central Florida,1754.6033478715583,6857.042862140882,1691.5849969909177
73,Duke,13,6,7,North Carolina,1625.2348234271785,6555.103025862446,1423.177547477079
74,Connecticut,12,5,7,Louisville,1843.807105735751,6537.413554438027,1273.258078092669
75,Central Michigan,13,7,6,Iowa,1414.7174460004687,6459.074295879473,1267.8471611405757
76,Minnesota,13,6,7,Syracuse,1750.6738644622085,6360.297778418011,1444.5064830122515
77,Purdue,13,6,7,Iowa,1414.7174460004687,6131.784008840526,1449.9497223013718
78,Air Force,13,6,7,Nevada,1296.8649157346306,6013.594422644082,1137.7115782632961
79,Iowa,12,4,8,Northern Illinois,1910.8398037528364,5822.86419707404,1414.7174460004687
80,Troy,12,5,7,Navy,1451.086410126062,5498.47719015187,1278.3904584407223
81,Texas-San Antonio,12,8,4,McNeese State,1143.5920947377836,5480.046629426798,1284.9745032436317
82,Houston,12,5,7,Rice,1420.0824877623031,5468.455376965856,1239.7920640838538
83,Utah,12,5,7,Brigham Young,1765.9100774541503,5349.825235337749,1482.1672401785484
84,Tennessee,12,5,7,North Carolina State,1333.9294912804025,5272.763033313045,1518.6772637446174
85,Marshall,12,5,7,Rice,1420.0824877623031,5136.944348719795,1189.9218376775123
86,Virginia,12,4,8,Penn State,1851.0609878596479,5086.899176911003,1251.0052846543008
87,Wake Forest,12,5,7,North Carolina,1625.2348234271785,4966.593961775468,1191.0375088960207
88,Arkansas,12,4,8,Tulsa,1692.9704892019522,4898.537448385693,1501.5100928331992
89,Memphis,12,4,8,Rice,1420.0824877623031,3912.2819752281357,1151.2349765628464
90,Maryland,12,4,8,Virginia,1251.0052846543008,3862.2645831302857,1219.3496015256044
91,California,12,3,9,UCLA,1808.031869247611,3681.5475345426544,1374.1113902177012
92,North Texas,12,4,8,Louisiana,1576.403840922951,3644.5853983703087,1158.2503020879385
93,Temple,11,4,7,Connecticut,1273.258078092669,3567.8230191416887,1234.4662087743343
94,Colorado State,12,4,8,Hawaii,965.3503799283994,3539.201344291968,1021.3806112664597
95,Wyoming,12,4,8,Colorado State,1021.3806112664597,3528.416808151816,1146.5637083065628
96,Washington State,12,3,9,Washington,1670.0314980231592,3526.624199978536,1191.1587145620028
97,Western Michigan,12,4,8,Connecticut,1273.258078092669,3494.0685620960253,1076.8953535623014
98,Indiana,12,4,8,Iowa,1414.7174460004687,3459.000271179336,1296.0129145108115
99,Buffalo,12,4,8,Miami (OH),1080.1377842916024,3429.2359050450227,1180.7759148621944
100,Texas State,12,4,8,Houston,1239.7920640838538,3353.9593579365055,1063.3245320130766
101,Miami (OH),12,4,8,Ohio,1500.8649426752634,3177.5126207576377,1080.1377842916024
102,New Mexico,13,4,9,Texas State,1063.3245320130766,2863.0362801264773,916.4001248079875
103,Florida Atlantic,12,3,9,Western Kentucky,1316.932442840935,2778.200392306984,1095.6552617995665
104,South Florida,12,3,9,Nevada,1296.8649157346306,2749.331392409877,1156.8679868811425
105,Florida International,12,3,9,Florida Atlantic,1095.6552617995665,2611.3223462386686,1157.1149655916659
106,Tulane,12,2,10,Southern Methodist,1584.1023966374548,2521.4477177178783,907.6111953361782
107,Alabama-Birmingham,12,3,9,Marshall,1189.9218376775123,2426.9503795220417,937.3453210804233
108,Auburn,12,3,9,Louisiana-Monroe,1400.880774542346,2237.5228084853766,1241.2930377191376
109,Hawaii,12,3,9,Nevada-Las Vegas,818.3193352688901,2223.4608601896402,965.3503799283994
110,Texas-El Paso,12,3,9,Tulane,907.6111953361782,2216.088221543452,1045.1660706990135
111,Army,12,2,10,Air Force,1137.7115782632961,2085.5299987097105,958.5839828952448
112,Nevada-Las Vegas,13,2,11,Air Force,1137.7115782632961,2054.1117030712835,818.3193352688901
113,Eastern Michigan,12,2,10,Western Michigan,1076.8953535623014,2035.4793364575462,967.2188388802288
114,Kentucky,12,2,10,Kent State,1661.3092932935692,1836.4770092979634,1257.1510474129097
115,South Alabama,13,2,11,Florida Atlantic,1095.6552617995665,1698.4423749425437,794.6801912657801
116,Youngstown State,1,1,0,Pittsburgh,1516.2229685838035,1516.2229685838035,819.6547943377016
117,McNeese State,2,1,1,Middle Tennessee State,1481.2482443488364,1481.2482443488364,1143.5920947377836
118,Boston College,12,2,10,Maryland,1219.3496015256044,1393.2455337702968,947.8184204464144
119,Illinois,12,2,10,Western Michigan,1076.8953535623014,1253.3197369327493,1084.4922687097112
120,Colorado,12,1,11,Washington State,1191.1587145620028,1191.1587145620028,839.1315042866908
