rank,team,games,wins,losses,best_win_name,best_win_rating,resume_score,team_elo
1,Ohio State,14,14,0,Miami (FL),2287.507505035574,22980.186182702033,2510.209044667074
2,Georgia,14,13,1,Alabama,2046.8239317883836,20400.300675622617,2225.8632842492825
3,Oklahoma,14,12,2,Texas,2091.1914369087467,19523.740697409117,2251.3813600835665
4,Southern California,13,11,2,Iowa,2122.645425293736,19479.253350059043,2309.450846648673
5,Miami (FL),13,12,1,Florida State,1958.9921471247092,18052.35121894619,2287.507505035574
6,Texas,13,11,2,Kansas State,2158.05926726595,17377.48472215946,2091.1914369087467
7,Iowa,13,11,2,Michigan,2043.7871272411908,16612.671711596053,2122.645425293736
8,Michigan,13,10,3,Penn State,1959.5149814065708,16329.542355907242,2043.7871272411908
9,Notre Dame,13,10,3,Michigan,2043.7871272411908,15240.59281109682,1946.7537400643503
10,Maryland,14,11,3,North Carolina State,2023.706532843547,15157.723064284804,1934.420952463797
11,Alabama,13,10,3,Arkansas,1825.6056343476623,15090.673506955904,2046.8239317883836
12,Florida State,14,9,5,Maryland,1934.420952463797,14807.953974332457,1958.9921471247092
13,Kansas State,13,11,2,Southern California,2309.450846648673,14503.200899580588,2158.05926726595
14,North Carolina State,14,11,3,Florida State,1958.9921471247092,14348.748749431334,2023.706532843547
15,Virginia Tech,14,10,4,Virginia,1896.9501076442295,14318.770521042177,1868.8484620386319
16,Colorado State,14,10,4,Colorado,1971.5774002046971,14256.10261529107,1705.6115407197708
17,Virginia,14,9,5,North Carolina State,2023.706532843547,14131.248290689458,1896.9501076442295
18,Washington State,13,10,3,Southern California,2309.450846648673,14042.674729523143,2040.1936538483203
19,Colorado,14,9,5,Kansas State,2158.05926726595,13963.522974794389,1971.5774002046971
20,Arkansas,14,9,5,Auburn,2000.3512477101858,13855.032641403606,1825.6056343476623
21,Boise State,13,12,1,Iowa State,1652.6514729375683,13697.154437818717,1898.8292064843345
22,Texas Tech,14,9,5,Texas,2091.1914369087467,13675.138341941436,1922.0119989746977
23,Penn State,13,9,4,Virginia,1896.9501076442295,13193.4051174222,1959.5149814065708
24,Wisconsin,14,8,6,Colorado,1971.5774002046971,12781.01595175116,1794.3976193942801
25,Florida,13,8,5,Georgia,2225.8632842492825,12565.745448704512,1830.164678670539
26,Texas Christian,12,10,2,Colorado State,1705.6115407197708,12512.847862063516,1835.8430187866427
27,Pittsburgh,13,9,4,Virginia Tech,1868.8484620386319,12419.26807183753,1901.2284860206842
28,Auburn,13,9,4,Alabama,2046.8239317883836,12318.679620694613,2000.3512477101858
29,UCLA,13,8,5,Oklahoma State,1775.076583820411,12310.85934639794,1819.91771874417
30,Marshall,13,11,2,Toledo,1574.1008474165315,11866.688510162976,1665.412423078526
31,West Virginia,13,9,4,Pittsburgh,1901.2284860206842,11611.88844177725,1794.8919478592352
