rank,team,games,wins,losses,best_win_name,best_win_rating,resume_score,team_elo
103,Central Michigan,12,3,9,Eastern Michigan,974.1244134399877,1836.3130896407865,861.6952730041992
104,New Mexico State,12,3,9,Utah State,942.174913296564,1621.6740845057802,830.1143149807252
105,San Jose State,11,3,8,Texas-El Paso,736.0543907679597,1550.7714040956914,1039.9338370809794
106,Indiana,12,2,10,Illinois,893.2119877581475,1483.794085017624,972.8869969902124
107,Vanderbilt,12,2,10,Kentucky,1232.8065595236158,1409.2519766370256,1157.9833514290797
108,Delaware,1,1,0,Navy,1394.615173592392,1394.615173592392,564.4174329896493
109,Ohio,12,2,10,Central Florida,816.6197750337074,1342.9268165139151,775.8120074068321
110,Texas-El Paso,13,2,11,Southern Methodist,637.7059011381058,1097.8560962212741,736.0543907679597
111,Louisiana-Monroe,12,1,11,Louisiana,1047.455230691105,1047.455230691105,509.65788680479153
112,Florida Atlantic,2,1,1,Middle Tennessee State,1017.3571154878532,1017.3571154878532,791.7288310252317
113,Temple,12,1,11,Middle Tennessee State,1017.3571154878532,1017.3571154878532,931.9193851299357
114,Western Illinois,2,1,1,Eastern Michigan,974.1244134399877,974.1244134399877,1223.454483641212
115,Iowa State,12,2,10,Ohio,775.8120074068321,956.5563105279813,1064.1784216176095
116,Villanova,1,1,0,Temple,931.9193851299357,931.9193851299357,503.9047222348186
117,Eastern Washington,2,1,1,Idaho,845.513510810867,845.513510810867,977.9618363203733
118,Montana,1,1,0,Idaho,845.513510810867,845.513510810867,746.4259722773533
119,Buffalo,12,1,11,Ohio,775.8120074068321,775.8120074068321,660.3764199700781
120,Cal Poly,2,1,1,Texas-El Paso,736.0543907679597,736.0543907679597,1000.9646693957392
121,East Carolina,12,1,11,Army,671.5714098761754,671.5714098761754,872.7285802367227
122,Colgate,1,1,0,Buffalo,660.3764199700781,660.3764199700781,764.0384146824152
123,Northwestern State,2,1,1,Louisiana-Monroe,509.65788680479153,509.65788680479153,899.7914308894077
124,Stephen F. Austin,1,1,0,Louisiana-Monroe,509.65788680479153,509.65788680479153,414.3543999794448
125,Illinois,12,1,11,Illinois State,172.94437492799344,172.94437492799344,893.2119877581475
126,Appalachian State,1,0,1,NA,NA,0,181.08929241464782
127,Army,13,0,13,NA,NA,0,671.5714098761754
128,Charleston Southern,1,0,1,NA,NA,0,180.17960415547574
129,Chattanooga,1,0,1,NA,NA,0,176.44541711340977
