rank,team,games,wins,losses,best_win_name,best_win_rating,resume_score,team_elo
1,Georgia,15,15,0,Texas Christian,2269.6416803842185,25399.96996495945,2621.310594471761
2,Texas Christian,15,13,2,Michigan,2353.2667585687896,20442.823336980724,2269.6416803842185
3,Michigan,14,13,1,Ohio State,2224.5851215657995,19988.016394826813,2353.2667585687896
4,Tennessee,13,11,2,Alabama,2252.50767108049,17399.5463282184,2135.5880899713734
5,Alabama,13,11,2,Kansas State,2007.5727743259781,17247.25338198857,2252.50767108049
6,Ohio State,13,11,2,Penn State,2132.841733285853,16768.868572045307,2224.5851215657995
7,Southern California,14,11,3,Notre Dame,1966.4524433324734,16615.842312460467,1986.1145503378805
8,Tulane,14,12,2,Kansas State,2007.5727743259781,16516.931203978547,1993.1387003084185
9,Penn State,13,11,2,Utah,1977.9144003608612,16313.687945352784,2132.841733285853
10,Washington,13,11,2,Oregon,1982.9623082939086,16186.582677082486,1974.8986709037672
11,Troy,14,12,2,Texas-San Antonio,1733.8806471518096,16127.808627054035,1853.4188168666954
12,Clemson,14,11,3,Florida State,1910.2678470921335,15472.675121473672,1958.6484674345074
13,Kansas State,14,10,4,Texas Christian,2269.6416803842185,15298.97103926906,2007.5727743259781
14,Louisiana State,14,10,4,Alabama,2252.50767108049,15168.132422534378,1973.459074407741
15,Florida State,13,10,3,Louisiana State,1973.459074407741,14602.318624833671,1910.2678470921335
16,Oregon,13,10,3,Utah,1977.9144003608612,14454.60243777397,1982.9623082939086
17,Utah,14,10,4,Southern California,1986.1145503378805,14192.664378106068,1977.9144003608612
18,Oregon State,13,10,3,Oregon,1982.9623082939086,13762.153343582873,1945.9644135874366
19,Texas-San Antonio,14,11,3,Western Kentucky,1529.410374408685,13548.805817959812,1733.8806471518096
20,Notre Dame,13,9,4,Clemson,1958.6484674345074,13435.41128579203,1966.4524433324734
21,Mississippi State,13,9,4,Arkansas,1822.9138921964711,12861.170204335194,1902.200815825671
22,Texas,13,8,5,Kansas State,2007.5727743259781,12760.314335872425,1919.6896498928024
23,Texas Tech,13,8,5,Texas,1919.6896498928024,12158.463912714811,1779.4382316881042
24,Louisville,13,8,5,Wake Forest,1727.9166407684359,12098.166301339126,1821.6375682598882
25,South Carolina,13,8,5,Tennessee,2135.5880899713734,12087.79205822185,1785.0258749507004
26,Boise State,14,10,4,Fresno State,1723.891125453828,12087.678766843032,1595.0797297367367
27,North Carolina,14,9,5,Wake Forest,1727.9166407684359,11925.905683699422,1663.1254055494924
28,UCLA,13,9,4,Utah,1977.9144003608612,11917.331205216215,1785.4899648974713
29,Central Florida,14,9,5,Tulane,1993.1387003084185,11883.876652733301,1634.4282531922015
30,Pittsburgh,13,9,4,UCLA,1785.4899648974713,11744.215690530942,1723.2392738703402
31,Coastal Carolina,13,9,4,Marshall,1617.3098900804953,11634.929729495181,1449.0334903134521
32,South Alabama,13,10,3,Louisiana,1414.2344738041472,11525.175873242886,1557.2768923355625
33,Marshall,13,9,4,Notre Dame,1966.4524433324734,11516.3452451685,1617.3098900804953
34,Fresno State,14,10,4,Washington State,1598.5131519658207,11293.768804392354,1723.891125453828
35,North Carolina State,13,8,5,Florida State,1910.2678470921335,11258.704483745623,1686.9297810622945
36,Mississippi,13,8,5,Troy,1853.4188168666954,11245.399057388942,1712.4411107263008
37,Air Force,13,10,3,Baylor,1608.9159552276408,10921.864569118225,1647.657817273149
38,Minnesota,13,9,4,Wisconsin,1618.8012094133571,10893.370842062099,1717.6948057762934
39,Ohio,14,10,4,Buffalo,1328.803262262026,10738.18071681249,1491.1437851341514
40,Wake Forest,13,8,5,Florida State,1910.2678470921335,10685.76308346347,1727.9166407684359
41,Maryland,13,8,5,North Carolina State,1686.9297810622945,10646.814996094781,1713.6043054423449
42,Houston,13,8,5,Texas-San Antonio,1733.8806471518096,10536.36357046961,1585.5533191762775
43,Western Kentucky,14,9,5,South Alabama,1557.2768923355625,10458.148495659021,1529.410374408685
44,Cincinnati,13,9,4,East Carolina,1613.6109700502006,10328.019624570305,1638.9619590998723
45,Duke,13,9,4,Wake Forest,1727.9166407684359,10266.129466848517,1708.352292303317
46,Illinois,13,8,5,Iowa,1801.897173935831,10183.28569102205,1648.0460480683844
47,Toledo,14,9,5,Ohio,1491.1437851341514,10140.235314496735,1425.9984987391038
48,Arkansas,13,7,6,South Carolina,1785.0258749507004,10105.287751248918,1822.9138921964711
49,Purdue,14,8,6,Minnesota,1717.6948057762934,10100.118662702276,1640.8570888800828
50,Eastern Michigan,13,9,4,San Jose State,1302.989374537145,10025.029361535566,1369.5428559738054
51,Iowa,13,8,5,Kentucky,1740.597812918516,9910.37467385738,1801.897173935831
52,Liberty,13,8,5,Arkansas,1822.9138921964711,9769.644136916902,1405.7794326041776
53,James Madison,11,8,3,Coastal Carolina,1449.0334903134521,9706.13649314164,1629.3490958307418
54,Brigham Young,13,8,5,Southern Methodist,1611.9074429350842,9498.97855736512,1545.6393097727696
55,Oklahoma State,13,7,6,Texas,1919.6896498928024,9407.01349484804,1546.9814864139987
56,Syracuse,13,7,6,Louisville,1821.6375682598882,9395.89974218088,1576.0854941123075
57,East Carolina,13,8,5,Central Florida,1634.4282531922015,9326.147553501549,1613.6109700502006
58,Kentucky,13,7,6,Mississippi State,1902.200815825671,9321.341291728597,1740.597812918516
59,Washington State,13,7,6,Wisconsin,1618.8012094133571,8626.056552366346,1598.5131519658207
60,Wisconsin,13,7,6,Maryland,1713.6043054423449,8623.72181843525,1618.8012094133571
61,Oklahoma,13,6,7,Kansas,1592.996886640339,8553.889747687961,1678.0867740663787
62,Southern Methodist,13,7,6,Houston,1585.5533191762775,8515.428293568257,1611.9074429350842
63,Florida,13,6,7,Utah,1977.9144003608612,8455.70134412996,1681.3296212913363
64,Middle Tennessee State,13,8,5,Miami (FL),1396.4712986706256,8333.946715957116,1367.2387233137383
65,Buffalo,13,7,6,Toledo,1425.9984987391038,8179.719983350401,1328.803262262026
66,Southern Mississippi,13,7,6,Tulane,1993.1387003084185,8070.106364072436,1385.4480071012235
67,Kansas,13,6,7,Duke,1708.352292303317,8033.978221005848,1592.996886640339
68,Alabama-Birmingham,13,7,6,North Texas,1374.8963268265072,8023.003953230758,1469.105664598045
69,Baylor,13,6,7,Texas Tech,1779.4382316881042,7899.8478167791955,1608.9159552276408
70,North Texas,14,7,7,Western Kentucky,1529.410374408685,7812.060146177024,1374.8963268265072
71,Missouri,13,6,7,Arkansas,1822.9138921964711,7726.380795731949,1628.6539979074723
72,Memphis,13,7,6,North Texas,1374.8963268265072,7499.003024883663,1532.1020351336558
73,Bowling Green,13,6,7,Marshall,1617.3098900804953,7496.621063272331,1227.1889997780872
74,San Diego State,13,7,6,Toledo,1425.9984987391038,7302.011959541999,1382.7553095640758
