rank,team,games,wins,losses,best_win_name,best_win_rating,resume_score,team_elo
1,Alabama,14,14,0,Florida,2387.2975093526006,23207.029419383667,2632.076586872255
2,Florida,14,13,1,Cincinnati,2140.7765793289286,21022.578148102184,2387.2975093526006
3,Texas,14,13,1,Nebraska,1960.603881994137,20173.400954616827,2257.0103607079095
4,Ohio State,15,13,2,Iowa,2094.9898984092865,19945.570765328797,2203.49748315666
5,Boise State,14,14,0,Texas Christian,2197.068238193843,18257.506753393514,2367.6320656562675
6,Cincinnati,13,12,1,Pittsburgh,1951.3676554543704,17459.113514455326,2140.7765793289286
7,Georgia Tech,14,11,3,Virginia Tech,2041.6579141718482,16960.692999259634,1945.1653083004567
8,Texas Christian,13,12,1,Brigham Young,1949.9047053067047,16200.395784138533,2197.068238193843
9,Oregon,14,10,4,Southern California,1865.023405892574,16182.233960198477,1992.9817843645583
10,Iowa,13,11,2,Penn State,1991.3962573068989,15944.92760385034,2094.9898984092865
11,Southern California,14,10,4,Ohio State,2203.49748315666,15590.873368422906,1865.023405892574
12,Virginia Tech,13,10,3,Nebraska,1960.603881994137,15277.986379918624,2041.6579141718482
13,Brigham Young,13,11,2,Oklahoma,1908.6902140167767,15204.854036832783,1949.9047053067047
14,Penn State,13,11,2,Louisiana State,2014.6428942785424,14764.295909747669,1991.3962573068989
15,Pittsburgh,13,10,3,Connecticut,1842.4075095537185,14711.529748275303,1951.3676554543704
16,Nebraska,14,10,4,Oklahoma,1908.6902140167767,14290.732560809192,1960.603881994137
17,Wisconsin,13,10,3,Miami (FL),1835.0846314421622,13753.77857389894,1899.204988255522
18,Central Michigan,14,12,2,Troy,1608.5109801356716,13606.167161506644,1707.3949980967272
19,Louisiana State,13,9,4,Arkansas,1941.1227581715523,13503.349736808403,2014.6428942785424
20,Houston,14,10,4,Texas Tech,1898.1728374807642,13281.921631144769,1553.3006958006988
21,Clemson,14,9,5,Miami (FL),1835.0846314421622,13272.971495135846,1819.0347842515216
22,Miami (FL),13,9,4,Georgia Tech,1945.1653083004567,13182.15948819214,1835.0846314421622
23,West Virginia,13,9,4,Pittsburgh,1951.3676554543704,12886.572566131428,1773.3844385633652
24,Utah,13,10,3,Air Force,1672.7911012661332,12592.156920220708,1848.2514991320297
25,Georgia,13,8,5,Georgia Tech,1945.1653083004567,12247.062445705491,1837.0735132435516
26,Oklahoma State,13,9,4,Texas Tech,1898.1728374807642,12221.139553931418,1757.3411439471306
27,Stanford,13,8,5,Oregon,1992.9817843645583,12154.238653019975,1853.968024554954
28,Navy,14,10,4,Air Force,1672.7911012661332,12095.999409383074,1716.15648057774
29,Arizona,13,8,5,Southern California,1865.023405892574,12035.05988828613,1774.613906452637
30,Mississippi,13,9,4,Louisiana State,2014.6428942785424,11949.119733334992,1880.4112457083468
31,Texas Tech,13,9,4,Nebraska,1960.603881994137,11801.087295502486,1898.1728374807642
32,Auburn,13,8,5,Mississippi,1880.4112457083468,11548.934731956168,1804.0671667400825
33,Oklahoma,13,8,5,Stanford,1853.968024554954,11444.407596515563,1908.6902140167767
34,Connecticut,13,8,5,South Carolina,1729.2682265678266,10965.970913616302,1842.4075095537185
35,Arkansas,13,8,5,Auburn,1804.0671667400825,10879.373107966707,1941.1227581715523
36,Oregon State,13,8,5,Stanford,1853.968024554954,10746.130764332924,1806.7366165745866
37,Idaho,14,9,5,Bowling Green,1377.3022651555852,10741.575661324552,1369.1846511735826
38,North Carolina,13,8,5,Virginia Tech,2041.6579141718482,10716.526990663899,1792.3357009210554
39,East Carolina,14,9,5,Houston,1553.3006958006988,10680.538140322666,1670.1890712880825
40,Missouri,13,8,5,Nevada,1533.7781901289366,10585.156671594455,1604.717997641857
41,California,13,8,5,Stanford,1853.968024554954,10554.272917003102,1667.1934063120586
42,Middle Tennessee State,13,10,3,Southern Mississippi,1389.73660793988,10365.785538807755,1544.0795120107805
43,Rutgers,13,9,4,Connecticut,1842.4075095537185,10309.411393622559,1745.0107227883814
44,Florida State,13,7,6,Brigham Young,1949.9047053067047,10089.413723168127,1777.102942081143
45,UCLA,13,7,6,Tennessee,1798.3966263199509,10076.063972235934,1610.2662078226772
46,Boston College,14,8,6,Florida State,1777.102942081143,9984.133064439236,1635.550942901173
