rank,team,games,wins,losses,best_win_name,best_win_rating,resume_score,team_elo
1,Florida State,14,14,0,Auburn,2318.591395947948,21301.846396222438,2497.7860903896394
2,Auburn,14,12,2,Missouri,2229.3784091443267,20114.100633542,2318.591395947948
3,Missouri,14,12,2,Oklahoma State,2029.8657488511915,19183.57686219557,2229.3784091443267
4,Michigan State,14,13,1,Stanford,2232.233685444052,18624.202823355336,2330.5800948945543
5,Stanford,14,11,3,UCLA,2087.888284760325,18491.604516422394,2232.233685444052
6,South Carolina,13,11,2,Missouri,2229.3784091443267,18061.890463760446,2240.0921484498544
7,Oklahoma,13,11,2,Alabama,2143.043300421728,16926.03856601936,2111.111043134394
8,Arizona State,14,10,4,UCLA,2087.888284760325,16822.918075850746,1999.4476365728258
9,Oregon,13,11,2,UCLA,2087.888284760325,16804.962399572207,2068.985058882425
10,Ohio State,14,12,2,Wisconsin,1950.9848032138477,16739.07776123002,2074.3073723422285
11,Alabama,13,11,2,Louisiana State,2144.0915817674527,16407.537231344177,2143.043300421728
12,Southern California,14,10,4,Stanford,2232.233685444052,15453.349114945626,1947.5858912793797
13,Central Florida,13,12,1,Louisville,2070.042437699499,15381.17931422402,2209.323701151306
14,UCLA,13,10,3,Washington,1953.267052458538,15279.336964725953,2087.888284760325
15,Baylor,13,11,2,Oklahoma,2111.111043134394,15164.268938094852,2034.1849909957452
16,Oklahoma State,13,10,3,Baylor,2034.1849909957452,15116.538303115478,2029.8657488511915
17,Clemson,13,11,2,Ohio State,2074.3073723422285,14405.942854837696,2108.2020621233387
18,Louisiana State,13,10,3,Auburn,2318.591395947948,14374.322109340059,2144.0915817674527
19,Notre Dame,13,9,4,Michigan State,2330.5800948945543,13678.154135270832,1881.3121402502713
20,Northern Illinois,14,12,2,Iowa,1856.0193418647214,13468.919414576008,1649.8585623153483
21,Duke,14,10,4,Virginia Tech,1777.7600249642296,13047.737941153451,1845.0013594445466
22,Washington,13,9,4,Arizona,1859.9750837906936,12879.966507660756,1953.267052458538
23,Fresno State,13,11,2,Utah State,1597.5274789362372,12772.814268961962,1646.556777754562
24,Louisville,13,12,1,Miami (FL),1746.6360776712038,12765.833442195844,2070.042437699499
25,Texas A&M,13,9,4,Mississippi,1878.9630284202804,12631.407812592039,1993.3653884257128
26,Georgia,13,8,5,South Carolina,2240.0921484498544,12119.571107914022,1923.3541972479807
27,Miami (FL),13,9,4,Georgia Tech,1707.9362705460458,12024.637602978673,1746.6360776712038
28,Virginia Tech,13,8,5,Miami (FL),1746.6360776712038,11855.798435334931,1777.7600249642296
29,Wisconsin,13,9,4,Iowa,1856.0193418647214,11793.620671444765,1950.9848032138477
30,Brigham Young,13,8,5,Texas,1791.092555101681,11581.512013860116,1749.0726273475414
31,Nebraska,13,9,4,Georgia,1923.3541972479807,11349.679810915892,1780.8088760602625
32,Texas,13,8,5,Oklahoma,2111.111043134394,11344.742483118082,1791.092555101681
