rank,team,games,wins,losses,best_win_name,best_win_rating,resume_score,team_elo
1,Florida,14,13,1,Oklahoma,2363.6601643677745,22230.077059459145,2555.2354126152823
2,Texas,13,12,1,Oklahoma,2363.6601643677745,20448.8017729881,2348.5561110218155
3,Oklahoma,14,12,2,Texas Tech,2091.520418657709,19265.846987618963,2363.6601643677745
4,Southern California,13,12,1,Penn State,2161.3415557423295,19050.949512002368,2340.994444817013
5,Utah,13,13,0,Alabama,2187.090245948329,19048.46597512857,2406.14409401637
6,Alabama,14,12,2,Georgia,2049.6096042305094,18292.440015400443,2187.090245948329
7,Boise State,13,12,1,Oregon,2035.6610849223732,15581.297770707533,2147.671904436622
8,Penn State,13,11,2,Ohio State,2074.2682170116195,15445.505884279915,2161.3415557423295
9,Texas Tech,13,11,2,Texas,2348.5561110218155,15354.273554022433,2091.520418657709
10,Georgia,13,10,3,Louisiana State,1874.7890575990173,14815.396042077133,2049.6096042305094
11,Virginia Tech,14,10,4,Nebraska,1901.1613896869796,14779.138046230808,1961.8759179428973
12,Cincinnati,14,11,3,Rutgers,1781.9749159871108,14714.664173150259,1812.1452852277584
13,Pittsburgh,13,9,4,Iowa,1909.576588263687,14274.62569983979,1779.9618521677219
14,Oregon,13,10,3,Oklahoma State,1905.7410360430292,14182.300110994469,2035.6610849223732
15,Texas Christian,13,11,2,Boise State,2147.671904436622,14098.71168405527,2090.6186606045762
16,Missouri,14,10,4,Nebraska,1901.1613896869796,13781.175427681044,1959.0260561994091
17,Ohio State,13,10,3,Michigan State,1831.5552319944784,13780.514793448547,2074.2682170116195
18,Oregon State,13,9,4,Southern California,2340.994444817013,13617.54321229685,1890.1546368522997
19,Iowa,14,10,4,Penn State,2161.3415557423295,13520.461551505614,1909.576588263687
20,Wake Forest,13,8,5,Mississippi,2001.9693370040739,13495.550225082765,1753.9811218379446
21,Mississippi,13,9,4,Florida,2555.2354126152823,13491.889304216322,2001.9693370040739
22,Ball State,14,12,2,Navy,1555.511949462541,13389.770879063813,1590.282863480071
23,Boston College,14,9,5,Virginia Tech,1961.8759179428973,13138.259108433576,1799.4388125487055
24,Michigan State,13,9,4,Iowa,1909.576588263687,13125.95733246616,1831.5552319944784
25,California,13,9,4,Oregon,2035.6610849223732,12940.267215009484,1821.2591671915777
26,Florida State,13,9,4,Virginia Tech,1961.8759179428973,12836.030053735334,1928.831721511538
27,Nebraska,13,9,4,Clemson,1807.3145315239713,12719.866675939169,1901.1613896869796
28,East Carolina,14,9,5,Virginia Tech,1961.8759179428973,12603.893726472601,1538.094552373207
29,Georgia Tech,13,9,4,Georgia,2049.6096042305094,12474.676326740793,1799.2666613562126
30,West Virginia,13,9,4,North Carolina,1814.8010335087981,12422.322240727453,1779.6323056442013
31,Tulsa,14,11,3,Rice,1734.1368657498665,12211.300968078449,1675.6738720408928
32,Rice,13,10,3,Houston,1637.6666435337131,12028.165621458018,1734.1368657498665
33,North Carolina,13,8,5,Boston College,1799.4388125487055,11986.4425770965,1814.8010335087981
34,Maryland,13,8,5,California,1821.2591671915777,11646.327551884195,1686.8490538130395
35,Northwestern,13,9,4,Iowa,1909.576588263687,11626.093960190638,1741.0603448675138
36,Oklahoma State,13,9,4,Missouri,1959.0260561994091,11624.315676429398,1905.7410360430292
37,Brigham Young,13,10,3,Air Force,1563.6097353021355,11363.843582552061,1749.4311954101167
38,Vanderbilt,13,7,6,Mississippi,2001.9693370040739,11097.76326100342,1656.3146199759713
39,South Florida,13,8,5,Kansas,1802.767742885069,10747.277347125739,1603.8460242094911
40,Rutgers,13,8,5,Pittsburgh,1779.9618521677219,10640.119828352785,1781.9749159871108
41,Connecticut,13,8,5,Cincinnati,1812.1452852277584,10522.048286100195,1666.2796935818678
42,Western Michigan,13,9,4,Buffalo,1520.854250533063,10365.441753579764,1493.2099318585906
43,Kansas,13,8,5,Missouri,1959.0260561994091,10179.367807067472,1802.767742885069
44,Arizona,13,8,5,California,1821.2591671915777,10000.776363587778,1803.8748412639877
45,Miami (FL),13,7,6,Virginia Tech,1961.8759179428973,9883.424125789434,1665.940499447367
46,Buffalo,14,8,6,Ball State,1590.282863480071,9869.948047652046,1520.854250533063
47,South Carolina,14,7,7,Mississippi,2001.9693370040739,9847.552592706523,1687.7284394975484
48,Louisiana State,13,8,5,Georgia Tech,1799.2666613562126,9809.858555589648,1874.7890575990173
49,Navy,13,8,5,Rutgers,1781.9749159871108,9720.37877069723,1555.511949462541
50,Clemson,13,7,6,Boston College,1799.4388125487055,9653.823015856246,1807.3145315239713
51,Central Michigan,13,8,5,Buffalo,1520.854250533063,9629.794414507496,1426.7006854838135
52,Air Force,13,8,5,Houston,1637.6666435337131,9191.219930804873,1563.6097353021355
53,Houston,13,8,5,Tulsa,1675.6738720408928,9155.933206475394,1637.6666435337131
54,Louisiana Tech,13,8,5,Fresno State,1419.3325668676341,9084.546158828663,1461.2660479377435
55,Notre Dame,13,7,6,Navy,1555.511949462541,8988.22124825876,1635.8379707164906
56,Southern Mississippi,13,7,6,Troy,1568.9524348966336,8854.650499758014,1511.666185446847
