rank,team,games,wins,losses,best_win_name,best_win_rating,resume_score,team_elo
1,Texas,13,13,0,Southern California,2359.291850115529,22139.51065949822,2523.0429128903834
2,Southern California,13,12,1,Oregon,2024.4413531533194,19845.75215629653,2359.291850115529
3,Penn State,12,11,1,Ohio State,2250.7088269616916,18213.810235977595,2297.680071133112
4,Virginia Tech,13,11,2,West Virginia,2091.013326153668,17560.065738148973,2091.2766503345642
5,Louisiana State,13,11,2,Alabama,2017.1480387907732,16334.008419160102,2110.66596008887
6,Ohio State,12,10,2,Notre Dame,1994.5113670365042,16265.38590694884,2250.7088269616916
7,Texas Christian,12,11,1,Oklahoma,1982.4437212421722,16151.639657361266,1970.6547334243296
8,UCLA,12,10,2,Oklahoma,1982.4437212421722,15741.681313677145,1938.6401606299826
9,West Virginia,12,11,1,Georgia,2078.294435606888,15400.137999844172,2091.013326153668
10,Georgia,13,10,3,Louisiana State,2110.66596008887,15041.745420381474,2078.294435606888
11,Wisconsin,13,10,3,Auburn,1890.7763002593117,15036.721259506921,1945.4168940223058
12,Alabama,12,10,2,Florida,1956.4206898721816,14472.511536200458,2017.1480387907732
13,Boston College,12,9,3,Clemson,1917.955530039918,14426.845096417952,1938.2445760845605
14,Oregon,12,10,2,California,1808.2486083111692,14206.885010554164,2024.4413531533194
15,Miami (FL),12,9,3,Virginia Tech,2091.2766503345642,14072.591427740123,1999.6403393665967
16,Florida,12,9,3,Georgia,2078.294435606888,13899.920695425435,1956.4206898721816
17,Notre Dame,12,9,3,Michigan,1884.1892301986215,13794.50208987911,1994.5113670365042
18,Oklahoma,12,8,4,Oregon,2024.4413531533194,13448.482005996606,1982.4437212421722
19,Auburn,12,9,3,Georgia,2078.294435606888,12693.24355821231,1890.7763002593117
20,Texas Tech,12,9,3,Oklahoma,1982.4437212421722,12282.635322755345,1936.1572654956676
21,Clemson,12,8,4,Florida State,1778.3124825144348,11977.220428925146,1917.955530039918
22,Louisville,12,9,3,North Carolina,1653.5674537732211,11975.685518022394,1838.0731702181467
23,Nebraska,12,8,4,Michigan,1884.1892301986215,11860.801215301644,1818.849895525402
24,Florida State,13,8,5,Virginia Tech,2091.2766503345642,11838.480152316728,1778.3124825144348
25,Michigan,12,7,5,Penn State,2297.680071133112,11737.93516867849,1884.1892301986215
26,Tulsa,13,9,4,Fresno State,1592.1450555371757,11536.152633181184,1684.4926195116652
27,Georgia Tech,12,7,5,Miami (FL),1999.6403393665967,11329.711538595368,1660.4967427756785
28,Northwestern,12,7,5,Wisconsin,1945.4168940223058,11016.339320586438,1725.433886614621
29,Minnesota,12,7,5,Michigan,1884.1892301986215,10438.14664283191,1781.1817514827835
30,Nevada,12,9,3,Fresno State,1592.1450555371757,10374.61132793087,1515.9811520655296
31,Missouri,12,7,5,Nebraska,1818.849895525402,10314.728758629783,1679.4207261412437
32,Colorado,13,7,6,Kansas,1793.7633940311857,10090.534616174218,1710.9483579161201
33,South Carolina,12,7,5,Florida,1956.4206898721816,10071.042177368532,1691.1862810652487
34,Arizona State,12,7,5,Northwestern,1725.433886614621,10001.065526858598,1744.758778038
35,Boise State,13,9,4,Louisiana Tech,1539.550680602476,9944.23155520331,1656.1969173188447
36,Central Florida,13,8,5,Memphis,1442.7646982365275,9803.127722941394,1477.0166010373812
37,Toledo,12,9,3,Western Michigan,1474.2193611567368,9800.831884790188,1570.4558078444632
38,Kansas,12,7,5,Nebraska,1818.849895525402,9770.719400780914,1793.7633940311857
39,Iowa State,12,7,5,Iowa,1879.9963823307214,9650.677287601691,1813.0058896325527
40,Virginia,12,7,5,Minnesota,1781.1817514827835,9537.030409202987,1753.9865140456454
41,North Carolina State,12,7,5,Florida State,1778.3124825144348,9486.96833750746,1726.316885581498
42,Iowa,12,7,5,Wisconsin,1945.4168940223058,9461.993958212704,1879.9963823307214
43,California,12,8,4,Stanford,1635.686082738133,9440.001509607448,1808.2486083111692
44,Utah,12,7,5,Georgia Tech,1660.4967427756785,9163.300974962927,1624.3357519560184
45,Navy,12,8,4,Colorado State,1446.952459897738,8629.53892299334,1599.5640626304573
46,Akron,13,7,6,Northern Illinois,1619.8254887679109,8398.06337494576,1316.990055037675
47,Texas-El Paso,12,8,4,Tulsa,1684.4926195116652,8313.121062370277,1318.2185227927855
48,Fresno State,13,8,5,Boise State,1656.1969173188447,8204.880363908047,1592.1450555371757
49,Central Michigan,11,6,5,Toledo,1570.4558078444632,8178.316505087663,1500.7329581788838
50,Colorado State,12,6,6,Utah,1624.3357519560184,8150.497040548706,1446.952459897738
51,Memphis,12,7,5,Southern Mississippi,1505.7668365092773,8144.652443628389,1442.7646982365275
52,Northern Illinois,12,7,5,Toledo,1570.4558078444632,8130.046869576749,1619.8254887679109
53,North Carolina,11,5,6,Boston College,1938.2445760845605,8004.145055792827,1653.5674537732211
54,Stanford,11,5,6,Arizona State,1744.758778038,7842.356534402163,1635.686082738133
55,South Florida,12,6,6,Louisville,1838.0731702181467,7746.186361044052,1577.166166746003
56,Rutgers,12,7,5,Navy,1599.5640626304573,7737.014380176539,1528.7748117671576
57,New Mexico,11,6,5,Missouri,1679.4207261412437,7566.236323168031,1417.8158800561437
58,Southern Mississippi,12,7,5,Central Florida,1477.0166010373812,7544.831576633904,1505.7668365092773
59,Maryland,11,5,6,Virginia,1753.9865140456454,7413.547457208867,1658.3777038450658
60,Miami (OH),11,7,4,Akron,1316.990055037675,7366.950106150202,1437.81863726287
61,Louisiana Tech,11,7,4,Fresno State,1592.1450555371757,7281.444793778737,1539.550680602476
62,Tennessee,11,5,6,Louisiana State,2110.66596008887,7211.444279091086,1596.0113473651604
63,Oregon State,11,5,6,California,1808.2486083111692,7035.040386238677,1569.3288085561453
64,Southern Methodist,11,5,6,Texas Christian,1970.6547334243296,7008.890731280402,1346.7834525210117
65,Houston,12,6,6,Tulsa,1684.4926195116652,6968.298671048875,1370.1548869873027
66,Purdue,11,5,6,Michigan State,1560.5579754732166,6878.568279216551,1646.9044324563645
67,San Diego State,12,5,7,Utah,1624.3357519560184,6758.730464291015,1436.0399296575126
68,Western Michigan,11,7,4,Central Michigan,1500.7329581788838,6685.715132154095,1474.2193611567368
