rank,team,games,wins,losses,best_win_name,best_win_rating,resume_score,team_elo
151,Central Connecticut State,1,0,1,NA,0,0,152.71405012030232
152,Charleston Southern,1,0,1,NA,0,0,178.96787416587915
153,Chattanooga,1,0,1,NA,0,0,185.011181943958
154,Citadel,1,0,1,NA,0,0,179.53033565915152
155,Colgate,1,0,1,NA,0,0,178.05745728173952
156,Delaware,1,0,1,NA,0,0,180.82815618103336
157,Delaware State,2,0,2,NA,0,0,683.1197560927197
158,Duquesne,2,0,2,NA,0,0,686.3195172235305
159,East Tennessee State,1,0,1,NA,0,0,180.11598617987482
160,Eastern Illinois,1,0,1,NA,0,0,180.23784430741853
161,Eastern Kentucky,2,0,2,NA,0,0,672.5678719729646
162,Eastern Washington,1,0,1,NA,0,0,184.86692432893867
163,Elon,1,0,1,NA,0,0,180.38552676301012
164,Florida A&M,1,0,1,NA,0,0,180.8881626308551
165,Furman,1,0,1,NA,0,0,179.90692778474494
166,Gardner-Webb,2,0,2,NA,0,0,619.4682161020711
167,Grambling State,1,0,1,NA,0,0,178.5562843238704
168,Holy Cross,2,0,2,NA,0,0,719.9150760698066
169,Houston Baptist,1,0,1,NA,0,0,181.41175577509657
170,Howard,2,0,2,NA,0,0,686.8158740834554
171,Idaho State,2,0,2,NA,0,0,668.8365158360649
172,Incarnate Word,1,0,1,NA,0,0,178.44417503416068
173,Indiana State,2,0,2,NA,0,0,622.5976040758046
174,Jackson State,1,0,1,NA,0,0,179.76524607673238
175,Kennesaw State,1,0,1,NA,0,0,180.14276896041045
176,Lafayette,1,0,1,NA,0,0,181.49044310828108
177,Lamar,1,0,1,NA,0,0,179.02072965284248
178,Long Island,2,0,2,NA,0,0,659.0921278972851
180,Maine,1,0,1,NA,0,0,182.7974821298811
181,McNeese State,1,0,1,NA,0,0,178.75215659355857
182,Mercer,1,0,1,NA,0,0,179.49352902782027
183,Merrimack,1,0,1,NA,0,0,179.4082447247901
184,Missouri State,1,0,1,NA,0,0,180.81155726851924
185,Monmouth,1,0,1,NA,0,0,179.09147945450763
186,Morgan State,1,0,1,NA,0,0,178.8377694360916
187,Murray State,2,0,2,NA,0,0,666.5702262467626
188,New Hampshire,1,0,1,NA,0,0,182.80014395995047
189,Nicholls State,2,0,2,NA,0,0,691.4841092317462
190,Norfolk State,1,0,1,NA,0,0,174.86150725513255
191,North Alabama,1,0,1,NA,0,0,185.25665743887546
192,North Carolina A&T,1,0,1,NA,0,0,178.59662954867662
193,North Carolina Central,1,0,1,NA,0,0,181.70091040649598
194,North Dakota,1,0,1,NA,0,0,179.9963598475878
195,Northern Arizona,1,0,1,NA,0,0,180.69288868352868
196,Northern Colorado,1,0,1,NA,0,0,181.49406952249458
197,Northern Iowa,1,0,1,NA,0,0,181.42847954340502
198,Northwestern State,2,0,2,NA,0,0,615.7194784457763
199,Portland State,2,0,2,NA,0,0,697.3286535910655
200,Prairie View A&M,1,0,1,NA,0,0,179.45556161999966
201,Rhode Island,1,0,1,NA,0,0,183.16995473898382
202,Richmond,1,0,1,NA,0,0,180.92868790975126
203,Robert Morris,1,0,1,NA,0,0,180.3103554574394
204,Sacred Heart,1,0,1,NA,0,0,175.50621296989345
205,Samford,1,0,1,NA,0,0,182.03124597141056
206,South Carolina State,2,0,2,NA,0,0,626.4083275835414
