rank,conference,avg_elo,wins,losses
1,Big Ten Conference,2172.682748808028,132,37
2,Big 12 Conference,2143.8127707835383,97,32
3,Big East Conference,2087.376459449462,160,57
4,Southeastern Conference,2085.0943646596957,125,52
5,Atlantic Coast Conference,2040.2425280329978,107,59
6,Mountain West Conference,1995.8569488077235,87,33
7,Missouri Valley Conference,1936.8887535512565,76,51
8,Pac-12 Conference,1913.7083105453246,91,63
9,Atlantic 10 Conference,1892.0478266795456,122,81
10,Conference USA,1858.444660413817,92,70
11,West Coast Conference,1825.4712560873454,61,48
12,Horizon League,1694.7172862087157,51,59
13,Mid-American Conference,1689.222411383556,63,83
14,Western Athletic Conference,1682.1003964183342,85,106
15,Ivy League,1651.893257726734,58,61
16,Sun Belt Conference,1650.3533239172966,57,100
17,Summit League,1631.0982388958735,49,67
18,Colonial Athletic Association,1613.2149606269227,71,80
19,Big West Conference,1583.5849272128014,33,59
20,ASUN Conference,1567.050670316034,52,104
21,Big Sky Conference,1556.5964478300575,30,61
22,Metro Atlantic Athletic Conference,1545.6296250315745,55,69
23,Southern Conference,1541.783741141763,33,81
24,Patriot League,1511.5385941894283,53,63
25,Mid-Eastern Athletic Conference,1430.3573524241408,26,112
26,Northeast Conference,1400.5835913496517,51,92
27,America East Conference,1343.3419695656464,42,92
28,Southwestern Athletic Conference,1245.408901215866,6,93
