rank,conference,avg_elo,wins,losses
1,Big Ten Conference,2086.900763914025,75,23
2,Big 12 Conference,2053.2140783263694,71,22
3,Pac-12 Conference,2028.5880609552585,62,21
4,Southeastern Conference,1984.1016364732873,83,35
5,Atlantic Coast Conference,1914.9225547355152,67,31
6,American Athletic Conference,1912.736415458685,44,17
7,Big East Conference,1907.6159733379045,46,19
8,West Coast Conference,1878.1362351172193,58,28
9,Southern Conference,1733.788224795836,34,24
10,Atlantic 10 Conference,1726.5419357752749,44,38
11,Mountain West Conference,1717.444669751855,30,22
12,Conference USA,1702.3267977022892,53,39
13,Missouri Valley Conference,1697.566727490943,31,26
14,Sun Belt Conference,1615.1339793982606,32,36
15,Big West Conference,1587.8764158651836,14,23
16,Mid-American Conference,1574.2639366992553,22,31
17,Western Athletic Conference,1549.0871330998593,14,38
18,Big Sky Conference,1512.0299570311804,9,33
19,Patriot League,1503.0859542904323,6,4
20,ASUN Conference,1500.0849504279097,20,39
21,Colonial Athletic Association,1499.99480626553,24,35
22,Horizon League,1471.6230885453695,12,27
23,Metro Atlantic Athletic Conference,1459.396583002673,11,17
24,Ohio Valley Conference,1452.6982419491865,23,36
25,Northeast Conference,1414.7980258693092,6,20
26,Summit League,1407.6521363137185,8,47
27,America East Conference,1395.808824286468,10,20
28,Southland Conference,1363.442737657322,12,70
29,Big South Conference,1330.4024571966888,12,39
30,Mid-Eastern Athletic Conference,1256.2661567517378,14,50
31,Southwestern Athletic Conference,1185.6937574394246,8,45
