rank,team,rating,record,best_win,best_win_elo
1,St Thomas (MN),1670,23-8,N Dakota St,1655.3
2,N Dakota St,1655.3,24-7,St Thomas (MN),1670
3,S Dakota St,1463.2,14-17,Merrimack,1508
4,South Dakota,1392.6,16-15,S Dakota St,1463.2
5,Denver,1355.6,15-16,Colorado St,1928.7
6,Omaha,1340.6,15-16,St Thomas (MN),1670
7,North Dakota,1283.7,16-16,St Thomas (MN),1670
8,Oral Roberts,1188.1,10-22,Kennesaw St,1588.4
9,Kansas City,832.7,4-27,Omaha,1340.6
