team,proj_record,current_sos,current_rank,remaining_sos,remaining_rank,total_sos,total_rank
Davidson,18.87-12.13,1618.49,109,1608.58,151,1613.54,127
Wyoming,17.48-13.52,1625.15,107,1649.44,134,1637.3,117
FAU,17.74-13.26,1586.46,119,1656.47,133,1621.46,124
CA Baptist,22.42-8.58,1521.17,150,1484.05,217,1502.61,182
Murray St,20.65-10.35,1563.55,129,1638.71,138,1601.13,134
Mississippi St,13.61-17.39,1932.23,21,2239.32,6,2085.78,8
Northern Iowa,19.44-11.56,1571.18,124,1635.12,140,1603.15,132
Seattle U,18.47-12.53,1531.62,142,1509.22,199,1520.42,168
Northwestern,12.29-18.71,1914.18,31,2017.46,59,1965.82,50
San Francisco,15.53-15.47,1662.13,101,1702.68,120,1682.4,109
Hawai’i,22.19-7.81,1359.6,294,1465.66,229,1412.63,249
Wichita St,19.92-11.08,1585.92,120,1586.93,158,1586.42,139
Minnesota,14.01-16.99,1853.29,60,2165.73,23,2009.51,40
South Carolina,12.76-18.24,1824.93,70,2099.56,42,1962.25,52
Florida St,15.48-15.52,1848.72,62,1911.61,88,1880.17,75
High Point,26.91-4.09,1280.21,346,1279.35,307,1279.78,323
Ole Miss,11.95-19.05,1895.49,42,2121.79,36,2008.64,42
Richmond,16.85-14.15,1556.31,132,1580.94,161,1568.62,143
Memphis,15.01-15.99,1767.31,81,1685.06,126,1726.18,100
UAB,19.74-11.26,1517.65,154,1573.69,164,1545.67,153
Sam Houston,21.78-9.22,1441.01,218,1558.63,178,1499.82,184
DePaul,15.21-15.79,1698.17,94,1957.74,78,1827.95,85
William & Mary,18.77-11.23,1467.83,196,1290.19,302,1379.01,269
Oregon,10.87-20.13,1981.08,11,2087.95,48,2034.52,26
Rhode Island,17.55-13.45,1637.66,104,1626.04,144,1631.85,119
Hofstra,20.75-10.25,1465.67,197,1444.47,237,1455.07,213
Illinois St,18.57-12.43,1518.47,152,1929.63,83,1724.05,101
Arkansas St,19.84-11.16,1425.29,225,1300.86,298,1363.07,282
St Bonaventure,15.53-15.47,1609.78,113,1855.48,95,1732.63,98
Marshall,19.8-11.2,1505.55,157,1370.9,273,1438.22,230
Maryland,11.77-19.23,1927.4,25,2189.3,17,2058.35,17
Utah,10.54-20.46,1936.17,20,2113.64,37,2024.9,33
Pacific,17.47-13.53,1594.62,117,1788.32,103,1691.47,105
UC Irvine,20.74-11.26,1523.34,147,1565.37,170,1544.35,155
Winthrop,21.79-9.21,1393.9,259,1286.28,303,1340.09,292
Quinnipiac,20.73-10.27,1409.99,241,1207.84,316,1308.91,306
ETSU,22.28-8.72,1342.31,310,1571.9,166,1457.11,208
UC Davis,18.71-12.29,1443.54,216,1604.66,152,1524.1,164
Pitt,10.86-20.14,1895.4,43,1941.48,81,1918.44,65
Bowling Green,18.28-12.72,1417.91,230,1457.94,232,1437.92,231
LMU,15.06-15.94,1632.3,105,1730.28,113,1681.29,110
N Dakota St,24.36-6.64,1269.15,352,1467.99,226,1368.57,276
Buffalo,18.37-12.63,1417.77,231,1561.28,174,1489.53,192
Western KY,18.68-12.32,1502.33,162,1493.41,210,1497.87,186
Penn State,11.6-19.4,1846.67,63,1985.47,69,1916.07,67
St Thomas (MN),22.46-8.54,1282.75,342,1506.02,202,1394.38,262
MTSU,15.65-15.35,1578.08,122,1493.41,210,1535.75,156
Troy,19.95-11.05,1446.92,213,997.25,361,1222.09,342
Rutgers,12.16-18.84,1861.87,55,1947.08,80,1904.47,70
North Texas,17.07-13.93,1512.76,155,1624.08,147,1568.42,144
UT Arlington,16.39-13.61,1477.45,182,1616.45,148,1546.95,152
New Mexico St,15.31-14.69,1415.2,234,1596.53,154,1505.87,179
Santa Barbara,18.57-12.43,1476.5,184,1645.89,136,1561.2,145
Penn,15.59-11.41,1491.22,171,1309.1,294,1400.16,259
Washington St,13.16-17.84,1728.51,85,1509.22,199,1618.87,126
Duquesne,17.14-13.86,1588.28,118,1940.48,82,1764.38,93
Marquette,9.76-21.24,1870.79,52,2030.22,56,1950.51,58
Bradley,19.86-11.14,1524.54,146,1693.04,124,1608.79,128
Fresno St,13.27-17.73,1664.87,100,1823.36,97,1744.11,95
Mercer,19.29-11.71,1379.84,273,1515.52,196,1447.68,219
