team,proj_record,current_sos,current_rank,remaining_sos,remaining_rank,total_sos,total_rank
Webster,0-2,526.42,496,NA,407,NA,407
Columbia Int'l,0-2,433.03,552,NA,408,NA,408
Bethany (WV),0-2,468.09,540,NA,409,NA,409
Rhodes,0-2,504.99,509,NA,410,NA,410
S Virginia,0-2,535.16,489,NA,411,NA,411
Reinhardt,0-2,465.52,542,NA,412,NA,412
Dominican CA,0-2,659.33,423,NA,413,NA,413
Texas A&M-SA,0-2,424.95,556,NA,414,NA,414
Siena Heights,0-2,502.89,510,NA,415,NA,415
Eastern Oregon,0-2,422.51,559,NA,416,NA,416
Montana Tech,1-0,514.16,501,NA,417,NA,417
Jarvis Chrstn,0-2,378.02,584,NA,418,NA,418
NW Indian,0-3,577.57,465,NA,419,NA,419
Defiance,0-2,476.99,535,NA,420,NA,420
William Carey,0-2,310.33,613,NA,421,NA,421
Wash Adventist,0-2,244.55,648,NA,422,NA,422
Whittier,0-2,620.98,445,NA,423,NA,423
Dakota St,0-3,379.36,582,NA,424,NA,424
Stanton,0-2,618.46,446,NA,425,NA,425
Coastal GA,0-3,559.75,478,NA,426,NA,426
Eureka,0-2,367.12,589,NA,427,NA,427
Union (KY),0-2,386.93,580,NA,428,NA,428
TN Wesleyan,0-2,344.21,593,NA,429,NA,429
Notre Dame MD,0-3,451.68,546,NA,430,NA,430
San Fran St,0-2,456.83,545,NA,431,NA,431
Dallas,0-2,591.03,453,NA,432,NA,432
Bethel (TN),0-2,439.37,550,NA,433,NA,433
SUNY-Oneonta,0-2,324.02,608,NA,434,NA,434
SUNY-Maritime,0-2,545.7,483,NA,435,NA,435
SW Adventist,0-3,506.05,508,NA,436,NA,436
Dominican IL,0-2,387.21,579,NA,437,NA,437
Regent,0-2,483.47,531,NA,438,NA,438
Bob Jones,0-3,527.67,493,NA,439,NA,439
La Sierra,0-3,508.64,505,NA,440,NA,440
Texas Lutheran,0-2,378.07,583,NA,441,NA,441
Haskell,0-2,321.72,609,NA,442,NA,442
Calumet,0-2,415.77,563,NA,443,NA,443
Justice,0-3,440.42,549,NA,444,NA,444
Huston Till,0-2,250.52,644,NA,445,NA,445
Elms,0-2,260.72,636,NA,446,NA,446
Arlington Bapt,0-3,653.05,428,NA,447,NA,447
Dall Christian,0-3,415.88,562,NA,448,NA,448
West Coast,0-3,523.3,497,NA,449,NA,449
Oakwood,0-3,389.87,576,NA,450,NA,450
Ft Lauderdale,0-3,417.89,560,NA,451,NA,451
Cleary,0-3,462.89,543,NA,452,NA,452
Wash Coll (MD),0-2,333.2,602,NA,453,NA,453
Biblical Stud,0-9,1405.59,246,NA,454,NA,454
PSU Brandywine,0-2,127.3,687,NA,455,NA,455
Carolina U,0-3,512.04,504,NA,456,NA,456
Brewton Parker,0-2,125.97,688,NA,457,NA,457
PSU Abington,0-2,334.86,597,NA,458,NA,458
Oakland City,0-2,213.2,652,NA,459,NA,459
Johnson Wales,0-2,249.73,646,NA,460,NA,460
Saint Xavier,0-2,183.92,666,NA,461,NA,461
Erskine,0-2,282.6,624,NA,462,NA,462
Manor,0-2,86.03,698,NA,463,NA,463
Worcester St,0-2,130.51,686,NA,464,NA,464
S Wesleyan,0-3,308.75,615,NA,465,NA,465
New College FL,0-2,253.61,641,NA,466,NA,466
SW Christian U,0-3,270.54,633,NA,467,NA,467
East-West,0-3,189.43,665,NA,468,NA,468
Toccoa Falls,0-4,211.88,653,NA,469,NA,469
RIT,0-2,253.35,642,NA,470,NA,470
Coe,0-2,309.42,614,NA,471,NA,471
VTSU Johnson,0-3,194.34,658,NA,472,NA,472
Misericordia,0-2,137.02,683,NA,473,NA,473
Northwood,1-0,344.17,594,NA,474,NA,474
Trinity Co Jax,0-3,281.66,625,NA,475,NA,475
Ark Baptist,0-3,146.49,681,NA,476,NA,476
Virginia St,1-0,-229.73,723,NA,477,NA,477
VA Lynchburg,0-10,1274.48,351,NA,478,NA,478
Miss Valley St,2.07-29.93,1415.19,235,1238.15,314,1326.67,298
Cheyney (PA),0-2,-98.2,714,NA,479,NA,479
Central Penn,0-3,117.17,691,NA,480,NA,480
Trinity (IL),0-1,1412.59,238,NA,481,NA,481
Humboldt,0-1,1198.58,367,NA,482,NA,482
Millsaps,0-1,1000.88,376,NA,483,NA,483
OK Christian,0-1,1023.76,373,NA,484,NA,484
Frank Pierce,0-1,486.79,523,NA,485,NA,485
Mount Olive,0-1,871.01,386,NA,486,NA,486
St Thomas (TX),0-1,297.8,616,NA,487,NA,487
Catawba,0-1,968.96,378,NA,488,NA,488
Jamestown,0-1,678.26,412,NA,489,NA,489
Capital,0-1,179.88,669,NA,490,NA,490
Principia,0-1,1397.11,255,NA,491,NA,491
St John's (MN),0-1,664.57,417,NA,492,NA,492
Morehouse,0-1,401.79,571,NA,493,NA,493
La Verne,0-1,872.16,385,NA,494,NA,494
Adams St,0-1,656.87,426,NA,495,NA,495
FL Memorial,0-1,227.56,650,NA,496,NA,496
UC Merced,0-1,1199.9,366,NA,497,NA,497
Mnhttn Chrstn,0-1,1023.76,373,NA,498,NA,498
Molloy,0-1,747.8,398,NA,499,NA,499
Lawrence,0-1,664.57,417,NA,500,NA,500
Shaw,0-1,564.79,475,NA,501,NA,501
Northrn St,0-1,838.07,390,NA,502,NA,502
Rosemont,0-1,569.67,472,NA,503,NA,503
Brandeis,0-1,948.88,379,NA,504,NA,504
Scholastic,0-1,678.26,412,NA,505,NA,505
Rockford,0-1,743.47,400,NA,506,NA,506
Western NE,0-1,500.28,513,NA,507,NA,507
Bloomfield,0-1,120.96,689,NA,508,NA,508
Concord,0-1,940.24,381,NA,509,NA,509
Ohio Christian,0-1,586.7,459,NA,510,NA,510
Cmbrlnd KY,0-1,568.92,473,NA,511,NA,511
Farmingdale St,0-1,483.67,529,NA,512,NA,512
GA College,0-1,979.8,377,NA,513,NA,513
Bowie State,0-1,401.79,571,NA,514,NA,514
Converse,0-1,693.99,407,NA,515,NA,515
N Central,0-1,664.57,417,NA,516,NA,516
Minn Crook,0-1,678.26,412,NA,517,NA,517
Christian Bros,0-1,736.26,401,NA,518,NA,518
DeSales,0-1,839.43,389,NA,519,NA,519
MD West St,0-1,588.83,456,NA,520,NA,520
Old Westbury,0-1,747.8,398,NA,521,NA,521
Schreiner,0-1,761.87,396,NA,522,NA,522
Colorado Coll,0-1,601.51,448,NA,523,NA,523
Vassar,0-1,589.69,455,NA,524,NA,524
LeTourneau,0-1,761.87,396,NA,525,NA,525
Park U Gilbert,0-1,492.05,516,NA,526,NA,526
Centenary (NJ),0-1,478.41,534,NA,527,NA,527
St Mary's,0-1,388.9,577,NA,528,NA,528
Angelo State,0-1,588.83,456,NA,529,NA,529
Lynchburg,0-1,514.57,500,NA,530,NA,530
Menlo,0-1,690.72,408,NA,531,NA,531
Doane,0-1,333.78,598,NA,532,NA,532
Northwest U,0-1,585.56,461,NA,533,NA,533
Mobile,0-1,630.71,439,NA,534,NA,534
Arcadia,0-1,630.51,441,NA,535,NA,535
Manhatnvll,0-1,486.79,523,NA,536,NA,536
Pit Greensburg,0-1,593.82,450,NA,537,NA,537
Kansas Chrstn,0-1,459.89,544,NA,538,NA,538
CINCYCLER,0-1,568.92,473,NA,539,NA,539
MO So St,0-1,488.96,519,NA,540,NA,540
S Arkansas,0-1,180.42,668,NA,541,NA,541
Redlands,0-1,374.65,587,NA,542,NA,542
Geneva,0-1,593.82,450,NA,543,NA,543
Ripon,0-1,484.52,528,NA,544,NA,544
George Fox,0-1,632.98,436,NA,545,NA,545
Wash and Lee,0-1,468.44,539,NA,546,NA,546
Rutgers-Camden,0-1,630.51,441,NA,547,NA,547
WVU Tech,0-1,723.44,404,NA,548,NA,548
Franklin,0-1,631.94,438,NA,549,NA,549
Clinton,0-1,700.57,406,NA,550,NA,550
Pacific Union,0-1,690.72,408,NA,551,NA,551
Spring Hill,0-1,630.71,439,NA,552,NA,552
N Central (IL),0-1,638.71,431,NA,553,NA,553
PSU York,0-1,430.23,553,NA,554,NA,554
Hawai'i Hilo,0-1,787.39,395,NA,555,NA,555
Mt Saint Mary,0-1,486.79,523,NA,556,NA,556
Baptist (Fl),0-1,636.77,433,NA,557,NA,557
UNT Dallas,0-1,658.6,424,NA,558,NA,558
AU Montgomery,0-1,481.18,533,NA,559,NA,559
Dist Columbia,0-1,401.79,571,NA,560,NA,560
Lourdes,0-1,621.57,444,NA,561,NA,561
Wilms Baptist,0-1,191.71,663,NA,562,NA,562
Cumberland,0-1,663.94,420,NA,563,NA,563
Mid Am Chr,0-1,333.78,598,NA,564,NA,564
Paine,0-1,572.32,470,NA,565,NA,565
Puget Sound,0-1,809.29,392,NA,566,NA,566
Wilson,0-1,593.49,452,NA,567,NA,567
Piedmont,0-1,293.2,621,NA,568,NA,568
Marywood,0-1,502.29,511,NA,569,NA,569
Missouri Bapt,0-1,366.77,590,NA,570,NA,570
Shenandoah,0-1,331.32,604,NA,571,NA,571
Northeastern St,0-1,488.96,519,NA,572,NA,572
Trinity Tx,0-1,533.58,490,NA,573,NA,573
Saint Leo,0-1,827.49,391,NA,574,NA,574
Aquinas,0-1,686.12,411,NA,575,NA,575
SUNY Canton,0-1,290.38,623,NA,576,NA,576
Maine-Augusta,0-1,362.2,591,NA,577,NA,577
Rowan,0-1,652.54,429,NA,578,NA,578
Belmont Abbey,0-1,507.29,506,NA,579,NA,579
PSU Hazleton,0-1,154.81,679,NA,580,NA,580
FL National,0-1,530.03,492,NA,581,NA,581
Simpson,0-1,526.77,494,NA,582,NA,582
Arkansas Tech,0-1,736.26,401,NA,583,NA,583
Rob. Wesleyan,0-1,842.88,388,NA,584,NA,584
Oglethorpe,0-1,636.77,433,NA,585,NA,585
Whitman,0-1,537.7,486,NA,586,NA,586
Bryant Str OH,0-1,424.2,557,NA,587,NA,587
Miami Hamilton,0-1,535.19,488,NA,588,NA,588
Lane,0-1,132.64,684,NA,589,NA,589
Concordia (NE),0-1,333.78,598,NA,590,NA,590
Ottawa (AZ),0-1,514.16,501,NA,591,NA,591
Fresno Pacific,0-1,638.42,432,NA,592,NA,592
Pensacola Chrs,0-1,660.9,421,NA,593,NA,593
SLCP,0-1,409.77,566,NA,594,NA,594
Cameron,0-1,588.83,456,NA,595,NA,595
Johnson C Smth,0-1,388.04,578,NA,596,NA,596
Point,0-1,572.32,470,NA,597,NA,597
McMurry,0-1,435.57,551,NA,598,NA,598
Holy Cross Col,0-1,401.02,574,NA,599,NA,599
Campbellsville,0-1,668.68,416,NA,600,NA,600
McKendree,0-1,591,454,NA,601,NA,601
Culver Stock,0-1,409.77,566,NA,602,NA,602
Alice Lloyd,0-1,330.25,606,NA,603,NA,603
Crown,0-1,271.41,631,NA,604,NA,604
St. Francis IL,0-1,563.59,476,NA,605,NA,605
Willamette,0-1,573.15,467,NA,606,NA,606
Plattsburgh,0-1,500.28,513,NA,607,NA,607
MIT,0-1,405.84,569,NA,608,NA,608
Morris,0-1,475.67,536,NA,609,NA,609
UC Col Springs,0-1,375.96,585,NA,610,NA,610
Regis U,0-1,601.51,448,NA,611,NA,611
Bloomsburg,0-1,736.01,403,NA,612,NA,612
Peru State,0-1,484.85,526,NA,613,NA,613
AK-Anchorage,0-1,375.96,585,NA,614,NA,614
PSU Behrend,0-1,673.14,415,NA,615,NA,615
Sarah Lawrence,0-1,573.01,469,NA,616,NA,616
Jessup,0-1,257.95,640,NA,617,NA,617
Lyon,0-1,427.62,554,NA,618,NA,618
Warner Pac,0-1,809.29,392,NA,619,NA,619
Tiffin,0-1,203.09,655,NA,620,NA,620
St John Fisher,0-1,489.36,518,NA,621,NA,621
William Peace,0-1,279.08,629,NA,622,NA,622
Albany St,0-1,227.56,650,NA,623,NA,623
EMERSON,0-1,168.8,673,NA,624,NA,624
Centenary (LA),0-1,342.86,595,NA,625,NA,625
Bluefield,0-1,279.35,627,NA,626,NA,626
Boyce,0-1,401.02,574,NA,627,NA,627
Northern NM,0-1,934.54,382,NA,628,NA,628
W Montana,0-1,492.05,516,NA,629,NA,629
SalishKootenai,0-1,514.16,501,NA,630,NA,630
Lewis & Clark,0-1,573.15,467,NA,631,NA,631
NW Okla St,0-1,488.96,519,NA,632,NA,632
Simpson (CA),0-1,702.68,405,NA,633,NA,633
Berea,0-1,210.07,654,NA,634,NA,634
Kean,0-1,-229.73,723,NA,635,NA,635
Truett McCnnll,0-1,279.35,627,NA,636,NA,636
Harris Stowe,0-1,409.77,566,NA,637,NA,637
Dkta Wesleyan,0-1,484.85,526,NA,638,NA,638
Sci & Arts OK,0-1,659.94,422,NA,639,NA,639
Apprentice,0-1,280.85,626,NA,640,NA,640
Caldwell,0-1,411.17,565,NA,641,NA,641
St Joseph's LI,0-1,483.67,529,NA,642,NA,642
Widener,0-1,405.27,570,NA,643,NA,643
Pacif. Lutheran,0-1,374.65,587,NA,644,NA,644
Voorhees,0-1,337.05,596,NA,645,NA,645
Lady of Lake,0-1,414.24,564,NA,646,NA,646
Greensboro,0-1,507.29,506,NA,647,NA,647
Thiel,0-1,424.2,557,NA,648,NA,648
Hanover,0-1,316.85,610,NA,649,NA,649
Olivet,0-1,265.19,634,NA,650,NA,650
Hunting AL,0-1,314.7,612,NA,651,NA,651
Warren Wilson,0-1,293.2,621,NA,652,NA,652
Buena Vista,0-1,526.77,494,NA,653,NA,653
Bluefield St,0-1,92.29,697,NA,654,NA,654
UMass Boston,0-1,611.5,447,NA,655,NA,655
Ozark Chrstn,0-1,381.84,581,NA,656,NA,656
York (NE),0-1,333.78,598,NA,657,NA,657
Alfred St,0-1,440.48,548,NA,658,NA,658
Caltech,0-1,481.31,532,NA,659,NA,659
Occidental,0-1,427.26,555,NA,660,NA,660
WV Wesleyan,0-1,331.32,604,NA,661,NA,661
Fisher,0-1,168.8,673,NA,662,NA,662
Lncstr Bible,0-1,416.94,561,NA,663,NA,663
Embry Rid (AZ),0-1,258.08,638,NA,664,NA,664
Randolph,0-1,353.76,592,NA,665,NA,665
LA Christian,0-1,332.36,603,NA,666,NA,666
Salve Regina,0-1,191.86,660,NA,667,NA,667
UTPermianBasin,0-1,297.8,616,NA,668,NA,668
Mitchell,0-1,191.86,660,NA,669,NA,669
Regis College,0-1,189.75,664,NA,670,NA,670
Southwest,0-1,656.87,426,NA,671,NA,671
Mayville St,0-1,271.41,631,NA,672,NA,672
John Jay,0-1,315.09,611,NA,673,NA,673
Lehman,0-1,51.11,702,NA,674,NA,674
PSU New Kens,0-1,250.07,645,NA,675,NA,675
SUNY Coble,0-1,246.04,647,NA,676,NA,676
Western NM,0-1,297.8,616,NA,677,NA,677
Bryant Str-Alb,0-1,120.96,689,NA,678,NA,678
VT-Lyndon,0-1,191.86,660,NA,679,NA,679
Fort Valley St,0-1,201.71,657,NA,680,NA,680
Rivier,0-1,168.8,673,NA,681,NA,681
Paul Quinn,0-1,181.18,667,NA,682,NA,682
Allegheny,0-1,176.77,671,NA,683,NA,683
Blackburn,0-1,203.09,655,NA,684,NA,684
Merch Marn,0-1,296.35,619,NA,685,NA,685
Houghton,0-1,27.95,705,NA,686,NA,686
Loras,0-1,-5.46,710,NA,687,NA,687
John Brown,0-1,158.92,676,NA,688,NA,688
Emmanuel (MA),0-1,107.91,692,NA,689,NA,689
Gallaudet,0-1,142.52,682,NA,690,NA,690
Valley Forge,0-1,154.81,679,NA,691,NA,691
Southern NO,0-1,174.02,672,NA,692,NA,692
Mercy,0-1,71.26,701,NA,693,NA,693
St Joseph BKN,0-1,229.78,649,NA,694,NA,694
Trinity (FL),0-1,293.7,620,NA,695,NA,695
Adrian,0-1,265.19,634,NA,696,NA,696
SUNY Delhi,0-1,158.67,677,NA,697,NA,697
UT Southern,0-1,132.64,684,NA,698,NA,698
Paul Smith's,0-1,158.67,677,NA,699,NA,699
Franciscan,0-1,-53.66,712,NA,700,NA,700
St Elizabeth,0-1,51.11,702,NA,701,NA,701
Waynesburg,0-1,179.88,669,NA,702,NA,702
B'tine Mesa,0-1,258.08,638,NA,703,NA,703
Benedictne,0-1,193.31,659,NA,704,NA,704
Evangel,0-1,-146.28,715,NA,705,NA,705
ME Fort Kent,0-1,10.41,708,NA,706,NA,706
Dicknsn PA,0-1,101.76,694,NA,707,NA,707
Gwynedd Mercy,0-1,33.32,704,NA,708,NA,708
Earlham,0-1,94.46,695,NA,709,NA,709
Curry,0-1,107.91,692,NA,710,NA,710
Miami Mid'town,0-1,71.82,699,NA,711,NA,711
Mansfield,0-1,94.46,695,NA,712,NA,712
IU Columbus,0-1,71.82,699,NA,713,NA,713
McPherson,0-1,-146.28,715,NA,714,NA,714
Christendom,0-1,18.93,706,NA,715,NA,715
Kentucky St,0-1,-5.46,710,NA,716,NA,716
J&W (NC),0-1,18.93,706,NA,717,NA,717
Brevard,0-1,-238.54,726,NA,718,NA,718
THMAS,0-1,1.32,709,NA,719,NA,719
Spurgeon,0-1,-146.28,715,NA,720,NA,720
St. Ambrose,0-1,-198.23,721,NA,721,NA,721
Holy Family,0-1,-229.73,723,NA,722,NA,722
Rust,0-1,-158.89,718,NA,723,NA,723
Eastern,0-1,-165.7,719,NA,724,NA,724
Elmira,0-1,-166.44,720,NA,725,NA,725
Han LaGrange,0-1,-198.23,721,NA,726,NA,726
Miss for Women,0-1,-475.46,727,NA,727,NA,727
