rank,conference,avg_elo,wins,losses
1,Big 12 Conference,2277.63169191674,116,37
2,Big Ten Conference,2234.900789963914,135,41
3,Atlantic Coast Conference,2204.3015185796844,166,48
4,Southeastern Conference,2195.346871392009,140,57
5,Big East Conference,2104.592718780299,102,43
6,American Athletic Conference,2015.857811343339,119,50
7,Pac-12 Conference,1983.041161160429,98,62
8,West Coast Conference,1909.7831339745876,92,53
9,Mid-American Conference,1870.1443878497948,85,53
10,Atlantic 10 Conference,1791.9382821154386,94,88
11,Southern Conference,1779.8138172554602,56,51
12,Mountain West Conference,1769.5742532128754,66,66
13,Missouri Valley Conference,1753.6805882301421,59,60
14,Conference USA,1745.7988440154743,81,78
15,Ivy League,1731.6971752289294,60,50
16,Sun Belt Conference,1719.4818514485175,65,73
17,Western Athletic Conference,1690.022557573953,63,64
18,Colonial Athletic Association,1683.428558086029,52,66
19,Horizon League,1657.4981240569712,45,76
20,Patriot League,1611.3581417883108,54,64
21,Summit League,1601.0302574819516,39,71
22,Ohio Valley Conference,1600.9936130215883,53,78
23,ASUN Conference,1592.3638565200768,47,76
24,Big West Conference,1581.713732748363,46,74
25,Big Sky Conference,1573.333514158701,30,65
26,Big South Conference,1564.0517625379575,49,82
27,Southland Conference,1527.0201835176752,30,92
28,America East Conference,1518.156436602931,44,76
29,Northeast Conference,1470.103291604057,35,77
30,Metro Atlantic Athletic Conference,1446.3657889444264,41,94
31,Southwestern Athletic Conference,1308.3514301514067,15,103
32,Mid-Eastern Athletic Conference,1295.4920871641384,22,131
