rank,team,rating,record,best_win,best_win_elo
1,Yale,1908.6,20-4,Akron,1898.8
2,Penn,1620.9,13-10,Saint Joseph's,1631.2
3,Columbia,1572.8,15-9,Hofstra,1723
4,Cornell,1461.7,12-11,Columbia,1572.8
5,Harvard,1417.3,14-10,Yale,1908.6
6,Dartmouth,1366.7,10-13,Saint Peter's,1472.4
7,Princeton,1354.9,8-17,Yale,1908.6
8,Brown,1186,8-15,Columbia,1572.8
