rank,conference,avg_elo,wins,losses
1,Atlantic Coast Conference,2171.1754914028224,131,43
2,Southeastern Conference,2149.044068343028,124,45
3,Pac-12 Conference,2124.566913840102,91,31
4,Big Ten Conference,2104.664412390351,110,43
5,Big East Conference,2058.658124084082,158,59
6,Big 12 Conference,2031.9087691509676,105,45
7,Mountain West Conference,1993.3922906498053,79,36
8,Missouri Valley Conference,1921.3690012120971,78,54
9,Conference USA,1763.1574004999723,69,74
10,Atlantic 10 Conference,1753.009364478018,91,84
11,Western Athletic Conference,1732.4001199437162,83,73
12,West Coast Conference,1728.2424735893537,48,68
13,Horizon League,1719.4740501713356,58,69
14,Mid-American Conference,1685.4894230371708,63,82
15,Colonial Athletic Association,1671.6171300508477,62,70
16,Southern Conference,1595.4023642588716,44,85
17,Big West Conference,1593.4707980145147,38,56
18,Patriot League,1574.787618297968,45,59
19,Ivy League,1557.7603761456546,46,56
20,Big Sky Conference,1540.7474661780095,26,62
21,Sun Belt Conference,1534.5462448937812,42,86
22,America East Conference,1477.8152137808954,45,65
23,ASUN Conference,1456.7592727567799,35,113
24,Metro Atlantic Athletic Conference,1455.419363871007,43,65
25,Northeast Conference,1399.538022182628,34,80
26,Mid-Eastern Athletic Conference,1305.7009612227955,13,88
27,Southwestern Athletic Conference,1302.42422605776,8,78
