season,rank,team,rating,wins,losses,best_win_name,best_win_elo
2015,1,Kentucky,2798.57604684218,38,1,Notre Dame,2503.0067281788283
2015,2,Virginia,2612.706447459707,30,4,Notre Dame,2503.0067281788283
2015,3,Duke,2601.0054237227637,35,4,Virginia,2612.706447459707
2015,4,Wisconsin,2596.3911058798576,36,4,Kentucky,2798.57604684218
2015,5,Arizona,2560.0352492344978,34,4,Gonzaga,2524.130139261179
2015,6,Villanova,2537.3432811445086,33,3,VCU,2272.9802667981244
2015,7,Gonzaga,2524.130139261179,35,3,St John's,2203.176799236555
2015,8,Notre Dame,2503.0067281788283,32,6,Duke,2601.0054237227637
2015,9,Louisville,2417.6123377400722,27,9,Virginia,2612.706447459707
2015,10,Kansas,2414.0387707477375,27,9,Iowa State,2355.4633311192974
2015,11,Northern Iowa,2388.814479277222,31,4,Wichita St,2373.881400549749
2015,12,Wichita St,2373.881400549749,30,5,Kansas,2414.0387707477375
2015,13,Iowa State,2355.4633311192974,25,9,Kansas,2414.0387707477375
2015,14,Maryland,2342.638594122847,28,7,Wisconsin,2596.3911058798576
2015,15,North Carolina,2336.0361351596493,26,12,Virginia,2612.706447459707
2015,16,Baylor,2321.9723941130637,24,10,Iowa State,2355.4633311192974
2015,17,Oklahoma,2321.4601388859146,24,11,Kansas,2414.0387707477375
2015,18,Utah,2316.4516957592045,26,9,Wichita St,2373.881400549749
2015,19,West Virginia,2307.618574993706,25,10,Kansas,2414.0387707477375
2015,20,VCU,2272.9802667981244,26,10,Northern Iowa,2388.814479277222
2015,21,Michigan St,2271.7220254810027,27,12,Virginia,2612.706447459707
2015,22,Arkansas,2257.0046440197793,27,9,SMU,2186.5762235909815
2015,23,Xavier,2249.559614872936,23,14,Butler,2241.960295199063
2015,24,Butler,2241.960295199063,23,11,North Carolina,2336.0361351596493
2015,25,Texas,2238.872294044023,20,14,Baylor,2321.9723941130637
2015,26,Ohio State,2231.5822275691494,24,11,Maryland,2342.638594122847
2015,27,Georgetown,2212.5017211991753,22,11,Villanova,2537.3432811445086
2015,28,Indiana,2211.6196038627354,20,14,Maryland,2342.638594122847
2015,29,St John's,2203.176799236555,21,12,Xavier,2249.559614872936
2015,30,NC State,2198.8512962072077,22,14,Duke,2601.0054237227637
2015,31,Oklahoma St,2189.9822570541755,18,14,Kansas,2414.0387707477375
2015,32,SMU,2186.5762235909815,27,7,Temple,2088.7627095088483
2015,33,Iowa,2183.8453219668854,22,12,Maryland,2342.638594122847
2015,34,San Diego St,2183.3104896247573,27,9,Utah,2316.4516957592045
2015,35,Providence,2168.1869825840704,22,12,Notre Dame,2503.0067281788283
2015,36,Stanford,2163.228988130532,24,13,Texas,2238.872294044023
2015,37,Cincinnati,2145.4068000134953,23,11,NC State,2198.8512962072077
2015,38,Dayton,2140.197886329648,27,9,VCU,2272.9802667981244
2015,39,Georgia,2133.0666975480603,21,12,Ole Miss,2122.09200968066
2015,40,Davidson,2132.6156890402203,24,8,VCU,2272.9802667981244
2015,41,Oregon,2129.27892823321,26,10,Utah,2316.4516957592045
2015,42,Ole Miss,2122.09200968066,21,13,Arkansas,2257.0046440197793
2015,43,Alabama,2120.479358808913,19,15,UCLA,2109.2840027086213
2015,44,LSU,2118.8333155293367,22,11,West Virginia,2307.618574993706
2015,45,Miami,2111.5479386895136,25,13,Duke,2601.0054237227637
2015,46,BYU,2110.602783123041,25,10,Gonzaga,2524.130139261179
2015,47,UCLA,2109.2840027086213,22,14,Utah,2316.4516957592045
2015,48,Colorado St,2099.5802447489186,27,7,San Diego St,2183.3104896247573
2015,49,SF Austin,2094.165335857705,29,5,Memphis,1938.0221162841617
2015,50,Temple,2088.7627095088483,26,11,Kansas,2414.0387707477375
2015,51,TCU,2088.6945880709977,18,15,Oklahoma St,2189.9822570541755
2015,52,Texas A&M,2082.67959359734,21,12,LSU,2118.8333155293367
2015,53,Florida,2078.2676644597873,16,17,Arkansas,2257.0046440197793
2015,54,Illinois,2078.222611537552,19,14,Maryland,2342.638594122847
2015,55,Old Dominion,2076.037528572064,27,8,VCU,2272.9802667981244
2015,56,Minnesota,2075.0094578461335,18,15,Michigan St,2271.7220254810027
2015,57,Seton Hall,2071.3416423200392,16,15,Villanova,2537.3432811445086
2015,58,Boise St,2070.793459891085,25,9,San Diego St,2183.3104896247573
2015,59,Purdue,2067.097035891623,21,13,Ohio State,2231.5822275691494
2015,60,Saint Mary's,2063.9917732594936,21,10,BYU,2110.602783123041
2015,61,Rhode Island,2060.580072315064,23,10,Richmond,1998.0755922665803
