rank,conference,avg_elo,wins,losses
1,Atlantic Coast Conference,2103.7531250662614,85,32
2,Southeastern Conference,2067.7866735682073,96,38
3,Big 12 Conference,2056.8469574168234,107,39
4,Big East Conference,2014.226439050617,135,55
5,Big Ten Conference,1967.9270709506861,90,49
6,Pac-12 Conference,1962.184936852952,68,35
7,Mountain West Conference,1892.5793436861402,67,37
8,Conference USA,1886.6815692552873,95,74
9,Atlantic 10 Conference,1781.8348029098188,77,70
10,Missouri Valley Conference,1754.9452766681727,47,62
11,West Coast Conference,1740.6562150748593,55,51
12,Mid-American Conference,1712.9243636394704,53,57
13,Horizon League,1694.613859162828,54,63
14,Western Athletic Conference,1691.34862634018,59,72
15,Sun Belt Conference,1679.010844797286,64,84
16,Southern Conference,1608.725979017774,48,82
17,Big Sky Conference,1600.9010486106342,37,52
18,Metro Atlantic Athletic Conference,1576.5805692677227,46,47
19,Big West Conference,1554.9906066126703,28,55
20,Colonial Athletic Association,1526.401972288126,39,48
21,Ivy League,1495.0264786092055,39,63
22,ASUN Conference,1483.337454368699,57,90
23,Patriot League,1453.0026358778298,35,53
24,America East Conference,1435.7515439673107,44,77
25,Northeast Conference,1355.8376469449195,45,67
26,Southwestern Athletic Conference,1280.1938346022187,6,64
27,Mid-Eastern Athletic Conference,1150.308982389492,12,72
