rank,team,rating,record,best_win,best_win_elo
120,High Point,1738.3,17-4,Furman,1602.7
121,Marshall,1737.6,12-7,Wright St,1685.6
122,Pitt,1730.5,8-10,Ohio State,2076.5
123,Buffalo,1727.1,13-6,DePaul,1769.7
124,New Mexico St,1725.5,10-7,New Mexico,2087.2
125,LMU,1724.8,11-10,San Francisco,1828.7
126,William & Mary,1715.8,12-6,Bowling Green,1763.4
127,Sam Houston,1712.1,11-7,Wyoming,1806.1
128,Penn State,1711.3,9-9,Campbell,1565.7
129,UT Arlington,1706.1,12-6,SF Austin,1890.5
130,Pacific,1705.2,13-8,Oregon St,1583.9
131,Maryland,1704.4,8-10,Penn State,1711.3
132,Tarleton St,1697.1,11-8,CA Baptist,1760.3
133,Troy,1696.6,13-6,San Diego St,2101.9
134,UC Davis,1695.4,11-7,Nevada,1941.5
135,Quinnipiac,1694.4,13-7,Pitt,1730.5
136,Wright St,1685.6,12-7,Oakland,1665.9
137,North Texas,1683.6,11-7,Tulsa,1969.2
138,Temple,1683.6,11-7,Davidson,1809.7
139,Rutgers,1677.6,9-10,Oregon,1826.8
140,Fresno St,1676.6,9-9,Colorado St,1900
141,UC Irvine,1676.1,12-7,N Dakota St,1657.8
142,Florida St,1675.3,8-11,Miami,2090.7
143,Oakland,1665.9,11-9,Toledo,1663.3
144,Mercer,1665.8,12-7,Lipscomb,1606.9
145,St Thomas (MN),1665.4,15-5,Portland,1616.3
146,Toledo,1663.3,10-9,Troy,1696.6
147,Georgia Tech,1661.9,11-8,NC State,2108.9
148,ETSU,1660.7,13-6,Mercer,1665.8
149,Bradley,1660.5,13-7,Liberty,1925
150,Winthrop,1659.7,14-8,High Point,1738.3
151,N Dakota St,1657.8,16-5,St Thomas (MN),1665.4
152,Santa Barbara,1652.1,11-7,Seattle U,1813
153,Western KY,1650.7,11-7,Wichita St,1743.3
154,UNLV,1649.5,10-8,Utah State,2082.9
155,Washington St,1630.4,8-12,LMU,1724.8
156,Iona,1629.7,12-8,Hofstra,1747.5
157,UMass,1629,12-8,Florida St,1675.3
158,Portland St,1628.7,11-5,N Colorado,1566.4
159,Portland,1616.3,10-11,Kent State,1837.7
160,Tulane,1614.2,12-6,FAU,1876.5
161,Penn,1612.3,9-8,Saint Joseph's,1568.6
162,Duquesne,1611,10-9,Davidson,1809.7
163,Columbia,1609.6,12-6,Hofstra,1747.5
164,Boston College,1608.6,8-10,Syracuse,1936.9
165,Charleston,1608.4,11-8,William & Mary,1715.8
166,Lipscomb,1606.9,12-7,Marshall,1737.6
167,Marist,1604.5,12-6,Iona,1629.7
168,Furman,1602.7,13-6,Richmond,1828.3
169,Elon,1601.3,12-7,Richmond,1828.3
170,Ohio,1600.4,11-9,St Bonaventure,1796.7
171,Marquette,1595.6,7-13,Xavier,1955.8
172,Charlotte,1594.8,10-9,Wichita St,1743.3
173,Kennesaw St,1588.2,12-6,Western KY,1650.7
174,Robert Morris,1585.4,12-8,Toledo,1663.3
175,Oregon St,1583.9,10-11,Arizona St,1955.9
176,N Kentucky,1583.1,14-7,Robert Morris,1585.4
177,UT Martin,1578.7,15-5,Bradley,1660.5
178,Montana St,1577.4,11-8,St Thomas (MN),1665.4
179,Towson,1572.8,11-9,Liberty,1925
180,South Alabama,1572,13-6,Arkansas St,1738.9
