rank,team,rating,record,best_win,best_win_elo
539,N Central,182.1,0-1,NA,NA
540,Manhatnvll,182,0-1,NA,NA
541,Ripon,181.9,0-1,NA,NA
542,Redlands,181.9,0-1,NA,NA
543,Minn Crook,181.9,0-1,NA,NA
544,Geneva,181.8,0-1,NA,NA
545,St Mary's,181.8,0-1,NA,NA
546,Aquinas,181.7,0-1,NA,NA
547,Cameron,181.7,0-1,NA,NA
548,UNT Dallas,181.7,0-1,NA,NA
549,Franklin,181.7,0-1,NA,NA
550,Saint Leo,181.6,0-1,NA,NA
551,Lourdes,181.6,0-1,NA,NA
552,N Central (IL),181.5,0-1,NA,NA
553,Paine,181.5,0-1,NA,NA
554,Belmont Abbey,181.5,0-1,NA,NA
555,Lane,181.5,0-1,NA,NA
556,George Fox,181.3,0-1,NA,NA
557,Mt Saint Mary,181.3,0-1,NA,NA
558,Wash and Lee,181.3,0-1,NA,NA
559,Northeastern St,181.3,0-1,NA,NA
560,Rutgers-Camden,181.2,0-1,NA,NA
561,Puget Sound,181.1,0-1,NA,NA
562,Simpson,181.1,0-1,NA,NA
563,Mobile,181.1,0-1,NA,NA
564,Maine-Augusta,181.1,0-1,NA,NA
565,AU Montgomery,181.1,0-1,NA,NA
566,Baptist (Fl),181.1,0-1,NA,NA
567,WVU Tech,181,0-1,NA,NA
568,GA College,181,0-1,NA,NA
569,Holy Cross Col,181,0-1,NA,NA
570,Johnson C Smth,181,0-1,NA,NA
571,Trinity Tx,181,0-1,NA,NA
572,Mid Am Chr,181,0-1,NA,NA
573,Greensboro,180.9,0-1,NA,NA
574,Spring Hill,180.9,0-1,NA,NA
575,Fresno Pacific,180.9,0-1,NA,NA
576,Marywood,180.9,0-1,NA,NA
577,Arcadia,180.9,0-1,NA,NA
578,Miami Hamilton,180.9,0-1,NA,NA
579,Wilson,180.9,0-1,NA,NA
580,W Montana,180.9,0-1,NA,NA
581,Hawai'i Hilo,180.8,0-1,NA,NA
582,Pacific Union,180.8,0-1,NA,NA
583,PSU Hazleton,180.7,0-1,NA,NA
584,Whitman,180.7,0-1,NA,NA
585,Kean,180.7,0-1,NA,NA
586,Bloomsburg,180.7,0-1,NA,NA
587,FL National,180.6,0-1,NA,NA
588,Dist Columbia,180.6,0-1,NA,NA
589,PSU York,180.6,0-1,NA,NA
590,Willamette,180.5,0-1,NA,NA
591,Rowan,180.5,0-1,NA,NA
592,SLCP,180.5,0-1,NA,NA
593,Shenandoah,180.5,0-1,NA,NA
594,Albany St,180.4,0-1,NA,NA
595,Ottawa (AZ),180.3,0-1,NA,NA
596,Point,180.3,0-1,NA,NA
597,Oglethorpe,180.2,0-1,NA,NA
598,McMurry,180.2,0-1,NA,NA
599,Pensacola Chrs,180.2,0-1,NA,NA
600,Culver Stock,180.2,0-1,NA,NA
601,Lewis & Clark,180.1,0-1,NA,NA
602,Tiffin,180.1,0-1,NA,NA
603,Campbellsville,180.1,0-1,NA,NA
604,Missouri Bapt,180.1,0-1,NA,NA
605,PSU Behrend,180.1,0-1,NA,NA
606,Peru State,180.1,0-1,NA,NA
607,MIT,180.1,0-1,NA,NA
608,Warren Wilson,180.1,0-1,NA,NA
609,Clinton,180,0-1,NA,NA
610,Concordia (NE),180,0-1,NA,NA
611,McKendree,179.9,0-1,NA,NA
612,SUNY Canton,179.9,0-1,NA,NA
613,Boyce,179.9,0-1,NA,NA
614,Truett McCnnll,179.9,0-1,NA,NA
615,Rob. Wesleyan,179.9,0-1,NA,NA
616,Lyon,179.9,0-1,NA,NA
617,EMERSON,179.8,0-1,NA,NA
618,Sarah Lawrence,179.8,0-1,NA,NA
619,William Peace,179.8,0-1,NA,NA
620,Jessup,179.6,0-1,NA,NA
621,Plattsburgh,179.6,0-1,NA,NA
622,Bluefield,179.6,0-1,NA,NA
623,St John Fisher,179.5,0-1,NA,NA
624,Morris,179.5,0-1,NA,NA
625,Warner Pac,179.4,0-1,NA,NA
626,Simpson (CA),179.4,0-1,NA,NA
627,Arkansas Tech,179.4,0-1,NA,NA
628,Kansas Chrstn,179.4,0-1,NA,NA
629,Dkta Wesleyan,179.3,0-1,NA,NA
630,UC Col Springs,179.3,0-1,NA,NA
631,St. Francis IL,179.3,0-1,NA,NA
632,Berea,179.3,0-1,NA,NA
633,Apprentice,179.2,0-1,NA,NA
634,NW Okla St,179.2,0-1,NA,NA
635,Crown,179.2,0-1,NA,NA
636,UMass Boston,179.2,0-1,NA,NA
637,Buena Vista,179.1,0-1,NA,NA
638,Centenary (LA),179,0-1,NA,NA
639,Sci & Arts OK,179,0-1,NA,NA
640,Northern NM,179,0-1,NA,NA
641,AK-Anchorage,179,0-1,NA,NA
642,Hunting AL,179,0-1,NA,NA
643,Caldwell,179,0-1,NA,NA
644,Regis U,178.9,0-1,NA,NA
645,SalishKootenai,178.8,0-1,NA,NA
646,Harris Stowe,178.6,0-1,NA,NA
647,Lady of Lake,178.6,0-1,NA,NA
648,Bryant Str OH,178.5,0-1,NA,NA
649,Ozark Chrstn,178.5,0-1,NA,NA
650,Bluefield St,178.4,0-1,NA,NA
651,Pacif. Lutheran,178.4,0-1,NA,NA
652,Widener,178.2,0-1,NA,NA
653,Lncstr Bible,178.2,0-1,NA,NA
654,Hanover,178.2,0-1,NA,NA
655,Southwest,178.2,0-1,NA,NA
656,Voorhees,178.1,0-1,NA,NA
657,Regis College,178.1,0-1,NA,NA
658,Occidental,178.1,0-1,NA,NA
659,Fisher,178,0-1,NA,NA
660,St Joseph's LI,177.9,0-1,NA,NA
661,Alice Lloyd,177.6,0-1,NA,NA
662,Olivet,177.5,0-1,NA,NA
663,Salve Regina,177.3,0-1,NA,NA
664,Caltech,177.3,0-1,NA,NA
665,Paul Quinn,177.3,0-1,NA,NA
666,WV Wesleyan,177.3,0-1,NA,NA
667,York (NE),177.2,0-1,NA,NA
668,Thiel,177.2,0-1,NA,NA
669,Mitchell,177.1,0-1,NA,NA
670,Embry Rid (AZ),176.9,0-1,NA,NA
671,Bryant Str-Alb,176.7,0-1,NA,NA
672,John Brown,176.7,0-1,NA,NA
673,Alfred St,176.6,0-1,NA,NA
674,Randolph,176.6,0-1,NA,NA
675,John Jay,176.6,0-1,NA,NA
676,Allegheny,176.5,0-1,NA,NA
677,SUNY Coble,176.4,0-1,NA,NA
678,VT-Lyndon,176.4,0-1,NA,NA
679,Loras,176.3,0-1,NA,NA
680,Mercy,176.3,0-1,NA,NA
681,UT Southern,176.2,0-1,NA,NA
682,Southern NO,176.2,0-1,NA,NA
683,Evangel,176.1,0-1,NA,NA
684,UTPermianBasin,176.1,0-1,NA,NA
685,Gwynedd Mercy,176,0-1,NA,NA
686,Rivier,176,0-1,NA,NA
687,Houghton,175.9,0-1,NA,NA
688,Fort Valley St,175.9,0-1,NA,NA
689,Mayville St,175.7,0-1,NA,NA
690,Merch Marn,175.6,0-1,NA,NA
691,Gallaudet,175.6,0-1,NA,NA
692,Franciscan,175.5,0-1,NA,NA
693,McPherson,175.4,0-1,NA,NA
694,Lehman,175.4,0-1,NA,NA
695,Emmanuel (MA),175.4,0-1,NA,NA
696,PSU New Kens,175.3,0-1,NA,NA
697,SUNY Delhi,175.2,0-1,NA,NA
698,LA Christian,175.2,0-1,NA,NA
699,Western NM,175.1,0-1,NA,NA
700,Paul Smith's,175.1,0-1,NA,NA
701,Benedictne,175,0-1,NA,NA
702,Valley Forge,175,0-1,NA,NA
703,Trinity (FL),174.9,0-1,NA,NA
704,St Joseph BKN,174.4,0-1,NA,NA
705,Earlham,173.7,0-1,NA,NA
706,Christendom,173.6,0-1,NA,NA
707,Dicknsn PA,173.4,0-1,NA,NA
708,Adrian,173.1,0-1,NA,NA
709,St Elizabeth,173.1,0-1,NA,NA
710,B'tine Mesa,172.7,0-1,NA,NA
711,Mansfield,172.5,0-1,NA,NA
712,Spurgeon,172.1,0-1,NA,NA
713,Curry,172,0-1,NA,NA
714,J&W (NC),171.9,0-1,NA,NA
715,Waynesburg,171.7,0-1,NA,NA
716,Kentucky St,171.2,0-1,NA,NA
717,St. Ambrose,171.1,0-1,NA,NA
718,ME Fort Kent,171.1,0-1,NA,NA
719,Brevard,171,0-1,NA,NA
720,Holy Family,170.6,0-1,NA,NA
721,IU Columbus,169.8,0-1,NA,NA
722,Miami Mid'town,169.1,0-1,NA,NA
723,THMAS,169,0-1,NA,NA
724,Han LaGrange,167.9,0-1,NA,NA
725,Elmira,164.2,0-1,NA,NA
726,Eastern,164.1,0-1,NA,NA
727,Rust,161.5,0-1,NA,NA
728,Miss for Women,128.3,0-1,NA,NA
