rank,conference,avg_elo,wins,losses
1,Southeastern Conference,2378.9712800564876,206,34
2,Big Ten Conference,2258.5998640747193,177,47
3,Big 12 Conference,2196.1847045514537,150,52
4,Big East Conference,2099.3450532737584,92,46
5,Atlantic Coast Conference,2046.3228659423066,137,76
6,Mountain West Conference,1957.6896257021851,71,52
7,West Coast Conference,1909.9906069215915,78,65
8,Atlantic 10 Conference,1903.1622097513225,117,72
9,Missouri Valley Conference,1860.2681752447063,70,51
10,Conference USA,1849.7507909646445,61,46
11,American Conference,1842.827666857933,90,72
12,Big West Conference,1756.9038234203977,62,54
13,Southern Conference,1700.2176164883597,50,57
14,Big South Conference,1696.54178668092,50,62
15,Ivy League,1693.4491014577095,49,47
16,Western Athletic Conference,1689.4691098472476,44,69
17,Sun Belt Conference,1682.37904138553,65,94
18,Horizon League,1667.2238067037422,41,64
19,Coastal Athletic Association,1655.7334799948774,74,90
20,Mid-American Conference,1647.9098551792351,57,79
21,Summit League,1638.339050730608,42,65
22,Southland Conference,1634.732464857038,36,72
23,Big Sky Conference,1610.504119633828,34,71
24,ASUN Conference,1578.6422127324463,43,97
25,America East Conference,1557.426670551784,41,75
26,Patriot League,1543.8203195983695,39,76
27,Metro Atlantic Athletic Conference,1524.2893760525633,50,82
28,Ohio Valley Conference,1504.156261827502,26,65
29,Northeast Conference,1451.9049264671469,28,82
30,Mid-Eastern Athletic Conference,1412.893591400564,24,79
31,Southwestern Athletic Conference,1342.6499249309607,12,123
