rank,conference,avg_elo,wins,losses
1,Big 12 Conference,2253.8631548849726,119,30
2,Big Ten Conference,2159.8784420235515,125,48
3,Big East Conference,2108.744750260582,93,44
4,Southeastern Conference,2105.798473650982,144,59
5,Atlantic Coast Conference,2033.9502097708637,117,59
6,Mountain West Conference,2024.4112869787443,96,46
7,Pac-12 Conference,1989.3866630809557,88,55
8,West Coast Conference,1969.3264566062355,85,54
9,American Athletic Conference,1937.8023821961244,90,56
10,Conference USA,1881.0669116932843,83,36
11,Atlantic 10 Conference,1840.7572606980639,110,80
12,Western Athletic Conference,1800.3213878048653,72,69
13,Sun Belt Conference,1772.2159309864146,72,68
14,Ivy League,1728.6115360544593,49,50
15,Missouri Valley Conference,1726.2311015522112,63,58
16,Big West Conference,1707.386659034364,49,64
17,ASUN Conference,1704.647761208307,68,82
18,Mid-American Conference,1656.2473208446843,53,79
19,Summit League,1654.6675650064212,40,64
20,Coastal Athletic Association,1641.8799858429088,59,94
21,Southern Conference,1638.5506482121345,41,65
22,Big Sky Conference,1619.2304476888194,40,74
23,Big South Conference,1608.9205839325684,40,68
24,Metro Atlantic Athletic Conference,1607.31054788908,44,58
25,Horizon League,1590.633140797547,36,69
26,America East Conference,1590.122861873133,44,66
27,Patriot League,1562.3752407224763,42,70
28,Mid-Eastern Athletic Conference,1521.5538585116828,27,73
29,Ohio Valley Conference,1519.0479739753887,31,71
30,Southland Conference,1475.4534498518256,24,79
31,Southwestern Athletic Conference,1408.380148510687,19,117
32,Northeast Conference,1398.175362600741,23,81
