rank,conference,avg_elo,wins,losses
1,Big 12 Conference,2263.181688051916,119,28
2,Big East Conference,2161.3428387007802,100,33
3,Southeastern Conference,2145.068512828558,141,57
4,Big Ten Conference,2133.8001739642855,117,40
5,Pac-12 Conference,2053.1864557349413,90,47
6,Atlantic Coast Conference,2030.9733885425214,123,59
7,Mountain West Conference,1986.9721992796585,87,46
8,American Athletic Conference,1973.7958369702928,87,45
9,West Coast Conference,1969.6430597396482,87,57
10,Atlantic 10 Conference,1864.4058990432231,104,72
11,Southern Conference,1780.3490355106214,58,49
12,Conference USA,1776.86465219827,83,74
13,Missouri Valley Conference,1773.7639639470822,56,54
14,Sun Belt Conference,1740.103557513183,54,61
15,Colonial Athletic Association,1708.7800399627013,57,58
16,Western Athletic Conference,1705.4230184435305,63,73
17,Metro Atlantic Athletic Conference,1682.4093417878082,53,49
18,Ivy League,1659.0053776493817,37,54
19,Big West Conference,1656.9619029975745,37,58
20,Mid-American Conference,1649.6224831590762,50,65
21,Summit League,1603.8465144538652,39,60
22,Big Sky Conference,1602.3480091641138,36,60
23,ASUN Conference,1601.7247113915191,42,85
24,Ohio Valley Conference,1569.5353669358847,37,69
25,Big South Conference,1565.564473213793,38,87
26,America East Conference,1519.753716825837,37,61
27,Horizon League,1481.721361086941,27,74
28,Patriot League,1471.0361623058086,37,75
29,Southland Conference,1450.1369064913752,16,65
30,Northeast Conference,1426.729276473299,28,77
31,Mid-Eastern Athletic Conference,1421.6481465136008,21,67
32,Southwestern Athletic Conference,1323.4341802517083,14,116
