rank,team,rating,record,best_win,best_win_elo
1,Portland St,1609.1,20-11,N Colorado,1583
2,N Colorado,1583,20-12,Colorado,2019.7
3,Montana St,1575.6,18-14,St Thomas (MN),1659.7
4,Idaho,1522.3,21-15,Washington St,1634.3
5,Montana,1514.3,18-16,UNLV,1705.4
6,Weber St,1474.9,16-16,N Colorado,1583
7,Idaho St,1460.3,13-20,Montana St,1575.6
8,E Washington,1332.1,14-19,Portland St,1609.1
9,Sacramento St,1285.9,10-21,N Colorado,1583
10,N Arizona,1263.5,10-22,N Colorado,1583
