rank,team,rating,record,best_win,best_win_elo
1,Howard,1359.8,17-10,UNC Wilmington,1833.9
2,Norfolk St,1193.7,13-14,UTEP,1331.9
3,NC Central,1074.5,10-15,Norfolk St,1193.7
4,MD Eastern,1029.8,8-19,Howard,1359.8
5,Morgan St,1009.1,10-14,Howard,1359.8
6,SC State,954.2,7-18,Howard,1359.8
7,Coppin St,851.9,6-21,NC Central,1074.5
8,Delaware St,805.3,6-19,Longwood,1310.9
