rank,conference,avg_elo,wins,losses
1,Big 12 Conference,2245.335137118731,120,31
2,Big East Conference,2198.590325745098,112,29
3,Southeastern Conference,2190.9332289283066,144,54
4,Atlantic Coast Conference,2184.4796331567395,164,50
5,Big Ten Conference,2116.349350206175,145,50
6,Pac-12 Conference,2035.26546107517,112,52
7,American Athletic Conference,2000.2334837014646,105,49
8,Missouri Valley Conference,1923.225942000671,73,46
9,Mountain West Conference,1902.1276036574518,78,54
10,Atlantic 10 Conference,1822.0064921369733,92,85
11,West Coast Conference,1810.7994687097398,72,59
12,Mid-American Conference,1758.7550095738675,79,62
13,Conference USA,1755.6727091706484,82,84
14,Summit League,1725.4028433052945,45,58
15,Colonial Athletic Association,1705.6345236787838,52,57
16,Western Athletic Conference,1691.4688438467065,51,66
17,Big West Conference,1688.1606941948385,42,69
18,Big Sky Conference,1680.3481335887366,53,75
19,Sun Belt Conference,1665.4610433208618,58,74
20,Ohio Valley Conference,1658.8609254911114,56,76
21,Southern Conference,1636.6713211582564,46,62
22,Horizon League,1594.8276077445482,38,77
23,Big South Conference,1567.0525485798798,37,67
24,America East Conference,1554.8473175696747,52,68
25,ASUN Conference,1552.2150416706968,30,77
26,Southland Conference,1534.6488065689912,34,89
27,Metro Atlantic Athletic Conference,1532.5405291157178,55,82
28,Ivy League,1522.9049872838618,42,66
29,Patriot League,1488.6806266225203,39,70
30,Northeast Conference,1445.9247085458342,37,77
31,Mid-Eastern Athletic Conference,1296.2676155757706,23,148
32,Southwestern Athletic Conference,1226.387499395065,9,114
