rank,conference,avg_elo,wins,losses
1,Big 12 Conference,2206.8037049584486,108,29
2,Atlantic Coast Conference,2147.3636968347014,166,51
3,Big East Conference,2144.0579729987976,95,36
4,Big Ten Conference,2114.818145870387,146,51
5,Southeastern Conference,2085.866409166554,132,59
6,Pac-12 Conference,2068.494540759022,120,47
7,West Coast Conference,1895.3262073793044,65,48
8,Atlantic 10 Conference,1891.5631876525888,105,69
9,American Athletic Conference,1873.366318676741,85,54
10,Missouri Valley Conference,1864.9379510488402,77,51
11,Mountain West Conference,1806.804056493491,71,55
12,Mid-American Conference,1787.1959043133913,83,56
13,Horizon League,1729.8501077145322,49,66
14,Big West Conference,1725.2206694638412,51,64
15,Conference USA,1711.4804188337496,78,84
16,Ivy League,1667.385084481949,55,58
17,Sun Belt Conference,1614.216267055117,43,54
18,Colonial Athletic Association,1613.1377943128243,52,68
19,Summit League,1608.5253932873113,48,64
20,Ohio Valley Conference,1594.9575928698675,63,88
21,Patriot League,1587.9173417853635,45,62
22,Big South Conference,1569.0562330507628,36,70
23,Metro Atlantic Athletic Conference,1567.48542490043,46,68
24,Southern Conference,1561.199925164565,36,65
25,Big Sky Conference,1541.3326338564086,39,83
26,Southland Conference,1528.7303712887124,33,83
27,ASUN Conference,1526.1671554582726,39,73
28,Western Athletic Conference,1509.1334678954147,34,82
29,Northeast Conference,1497.889424640769,37,75
30,America East Conference,1431.297457474551,34,76
31,Mid-Eastern Athletic Conference,1353.4417028516477,37,132
32,Southwestern Athletic Conference,1271.49402669414,12,99
