rank,conference,avg_elo,wins,losses
1,Atlantic Coast Conference,2185.1314993039646,120,35
2,Big Ten Conference,2183.1628439137803,104,34
3,Big 12 Conference,2151.282490041447,135,45
4,Big East Conference,2117.3289694064697,153,54
5,Pac-12 Conference,2117.0443332355844,98,37
6,Southeastern Conference,1991.9833224472125,105,50
7,Mountain West Conference,1940.7277028452306,75,43
8,Missouri Valley Conference,1833.027317160606,67,59
9,Atlantic 10 Conference,1827.5308428904534,113,81
10,Conference USA,1825.483079631345,86,77
11,Horizon League,1739.9080990317166,51,50
12,Western Athletic Conference,1733.125936695051,81,72
13,West Coast Conference,1697.146418651693,50,64
14,Colonial Athletic Association,1690.366646606356,66,68
15,Metro Atlantic Athletic Conference,1642.8212713700127,57,61
16,Big West Conference,1586.4792705204034,39,62
17,Southern Conference,1564.91201747779,36,68
18,Mid-American Conference,1557.2167087246507,47,96
19,Sun Belt Conference,1555.111870001536,59,82
20,Big Sky Conference,1548.993878942478,31,68
21,ASUN Conference,1532.1576082306408,44,96
22,Summit League,1519.1773983903,25,67
23,America East Conference,1498.2224639367544,49,60
24,Ivy League,1396.3156086154859,33,68
25,Patriot League,1393.7815721436018,43,66
26,Mid-Eastern Athletic Conference,1340.769734945693,16,91
27,Northeast Conference,1320.4338552294712,35,77
28,Southwestern Athletic Conference,1135.9867846828738,1,88
