rank,conference,avg_elo,wins,losses
1,Big 12 Conference,2255.5652115958455,112,32
2,Atlantic Coast Conference,2218.7660428620597,168,45
3,Big East Conference,2188.4553321418784,103,36
4,Big Ten Conference,2168.0219091577833,144,52
5,Southeastern Conference,2110.673805778329,130,61
6,Pac-12 Conference,2082.0955692486828,112,47
7,American Athletic Conference,1905.3056984821449,89,54
8,Atlantic 10 Conference,1902.8060013450622,107,72
9,West Coast Conference,1897.8962542752606,77,48
10,Mountain West Conference,1864.2223696140036,78,53
11,Missouri Valley Conference,1805.632903183622,61,55
12,Southern Conference,1729.119145824894,49,61
13,Sun Belt Conference,1724.3621604776774,75,70
14,Colonial Athletic Association,1723.423159527238,59,56
15,Mid-American Conference,1713.571989361709,72,66
16,Western Athletic Conference,1690.6592096822299,53,62
17,Horizon League,1664.5246954641668,53,64
18,Summit League,1646.5079147894471,48,62
19,Conference USA,1641.1319681024465,68,91
20,Ohio Valley Conference,1634.1685787121448,57,92
21,Metro Atlantic Athletic Conference,1603.294749137857,59,64
22,Southland Conference,1567.5043334312295,37,82
23,Big South Conference,1567.4287304794616,34,66
24,Ivy League,1566.2975209667281,44,58
25,Patriot League,1565.3794552992094,45,70
26,America East Conference,1553.8278373190246,57,68
27,ASUN Conference,1551.9334752875309,43,67
28,Big Sky Conference,1514.1982313166077,34,92
29,Big West Conference,1495.4400096841596,32,80
30,Northeast Conference,1394.7144731523024,28,89
31,Mid-Eastern Athletic Conference,1260.465521572828,16,142
32,Southwestern Athletic Conference,1254.778664243691,12,99
