rank,conference,avg_elo,wins,losses
1,Big 12 Conference,2233.795354438704,94,33
2,Big East Conference,2189.627134347852,101,25
3,Big Ten Conference,2164.356950972891,112,39
4,Pac-12 Conference,2123.2269559681745,112,39
5,Atlantic Coast Conference,2086.978497097125,119,41
6,Southeastern Conference,2084.865778197048,125,55
7,American Athletic Conference,1989.7317616937673,105,47
8,West Coast Conference,1959.3395569537743,91,47
9,Atlantic 10 Conference,1928.1415891959393,114,61
10,Mountain West Conference,1906.4362704622192,71,53
11,Mid-American Conference,1824.053163697676,76,57
12,Missouri Valley Conference,1823.4778137976195,67,48
13,Conference USA,1735.7268333003015,67,83
14,Southern Conference,1734.6364057626593,54,48
15,Sun Belt Conference,1733.4359046850573,48,59
16,Colonial Athletic Association,1690.5546319159891,55,57
17,Ivy League,1680.5519670155968,48,56
18,Big Sky Conference,1671.193795278099,39,54
19,Summit League,1652.4686456750608,41,63
20,Big West Conference,1628.2800860049963,44,76
21,Horizon League,1625.8053653679772,40,73
22,America East Conference,1583.774492043985,48,67
23,Western Athletic Conference,1565.300681573208,37,71
24,Patriot League,1550.4329612092258,46,66
25,Metro Atlantic Athletic Conference,1518.1065836434111,42,65
26,Ohio Valley Conference,1518.0685302321203,42,88
27,ASUN Conference,1516.045141115771,36,76
28,Big South Conference,1506.1389066884537,34,80
29,Southland Conference,1499.3360031268792,18,82
30,Northeast Conference,1445.270619801341,42,83
31,Mid-Eastern Athletic Conference,1346.1784477369,21,113
32,Southwestern Athletic Conference,1337.8588885902925,12,96
