rank,conference,avg_elo,wins,losses
1,Big 12 Conference,2085.8174550192957,123,47
2,Pac-12 Conference,2073.265728110967,101,32
3,Atlantic Coast Conference,2072.7632918464683,121,44
4,Big East Conference,2025.932320790778,146,62
5,Southeastern Conference,1997.0036729780015,105,49
6,Big Ten Conference,1987.3958723361384,90,45
7,Missouri Valley Conference,1877.6539524450254,72,53
8,Atlantic 10 Conference,1868.3069399843387,119,74
9,Mountain West Conference,1808.7085505130917,70,45
10,Horizon League,1780.7119284710138,53,49
11,Conference USA,1771.2118395488187,91,74
12,Mid-American Conference,1712.834610165848,64,84
13,Western Athletic Conference,1670.1729923185383,77,77
14,West Coast Conference,1648.9218443466416,45,69
15,Colonial Athletic Association,1626.00436213419,59,71
16,Sun Belt Conference,1621.663268840765,60,80
17,Big West Conference,1618.1362193169466,40,59
18,Southern Conference,1604.6985662141426,43,67
19,Summit League,1599.6360896719511,27,59
20,Metro Atlantic Athletic Conference,1545.0789618534523,50,64
21,Patriot League,1523.181843948704,53,55
22,Big Sky Conference,1515.7268422067077,32,65
23,Ivy League,1455.6925885058802,39,69
24,ASUN Conference,1442.5872725632757,43,128
25,America East Conference,1427.6116472473668,37,72
26,Northeast Conference,1400.5945324747968,49,74
27,Mid-Eastern Athletic Conference,1356.3345647566862,22,91
28,Southwestern Athletic Conference,1232.7083786716234,7,80
