rank,conference,avg_elo,wins,losses
1,Big 12 Conference,2189.7185520931916,131,39
2,Big East Conference,2179.2174448506153,162,51
3,Atlantic Coast Conference,2156.5038395110123,128,39
4,Southeastern Conference,2093.7042130791115,116,53
5,Big Ten Conference,2067.671369736867,95,46
6,Pac-12 Conference,1974.9299680972267,74,46
7,Mountain West Conference,1941.4985715332566,79,41
8,Atlantic 10 Conference,1926.2659332083708,118,79
9,Missouri Valley Conference,1925.931476175829,86,42
10,Conference USA,1864.7939852529719,88,75
11,West Coast Conference,1836.0215121381686,52,61
12,Horizon League,1791.6995818799185,56,52
13,Colonial Athletic Association,1735.255706668135,70,74
14,Western Athletic Conference,1717.9859366605272,84,95
15,Mid-American Conference,1716.639524202967,61,79
16,Big West Conference,1681.8759501734623,39,59
17,Metro Atlantic Athletic Conference,1648.1635711159481,62,57
18,Big Sky Conference,1644.887735343889,35,55
19,Southern Conference,1610.012926831567,38,90
20,Sun Belt Conference,1601.140311110292,51,92
21,Summit League,1571.122119953806,34,82
22,ASUN Conference,1536.6708906667898,38,99
23,Ivy League,1519.2616987039964,51,67
24,Mid-Eastern Athletic Conference,1403.1268545651387,23,91
25,America East Conference,1385.7027966011046,51,88
26,Patriot League,1375.448609693476,44,70
27,Northeast Conference,1262.591176897484,36,99
28,Southwestern Athletic Conference,1242.9962594822541,4,85
