rank,conference,avg_elo,wins,losses
1,Atlantic Coast Conference,2121.4362949804304,114,33
2,Big East Conference,2074.5235096709594,111,35
3,Big Ten Conference,2055.001641427396,91,47
4,Big 12 Conference,2042.1564993556394,92,36
5,Southeastern Conference,2028.6501108868442,99,46
6,Pac-12 Conference,2022.7842463017978,80,31
7,Conference USA,1897.031760762667,111,68
8,Mountain West Conference,1885.514993339755,54,44
9,Missouri Valley Conference,1880.9901808776613,69,48
10,West Coast Conference,1858.157663021899,68,40
11,Mid-American Conference,1805.8372687995854,62,51
12,Western Athletic Conference,1690.3521487149983,66,75
13,Horizon League,1674.4371181806505,40,64
14,Atlantic 10 Conference,1657.032250728349,55,81
15,Sun Belt Conference,1644.0919688779857,55,92
16,Big West Conference,1623.4031101448636,35,46
17,Colonial Athletic Association,1587.7298540322831,42,48
18,Southern Conference,1581.665799946939,40,80
19,America East Conference,1514.4474897696994,41,47
20,ASUN Conference,1511.209859170418,27,86
21,Ivy League,1508.7107405226375,43,56
22,Big Sky Conference,1493.1161593941504,21,55
23,Metro Atlantic Athletic Conference,1460.1805146310883,30,59
24,Patriot League,1446.7692892668083,40,58
25,Northeast Conference,1341.427277038879,24,68
26,Southwestern Athletic Conference,1269.1649142612703,8,63
27,Mid-Eastern Athletic Conference,1232.2899040828875,14,75
