rank,conference,avg_elo,wins,losses
1,Big 12 Conference,2176.67725944058,152,45
2,Big Ten Conference,2163.7344598035006,130,45
3,Southeastern Conference,2161.7361848629944,145,58
4,Big East Conference,2130.7441492346743,97,43
5,Atlantic Coast Conference,2121.614144681647,132,53
6,Pac-12 Conference,2066.6227884641435,93,50
7,Mountain West Conference,2016.6210949901874,94,46
8,Atlantic 10 Conference,1956.751616519293,126,66
9,American Athletic Conference,1900.9769673141957,100,71
10,Missouri Valley Conference,1895.3244878116996,78,51
11,West Coast Conference,1851.7520576412717,64,61
12,Ivy League,1794.2353298921653,52,48
13,Western Athletic Conference,1779.7554536737698,53,56
14,Conference USA,1775.815943266417,48,62
15,Southern Conference,1728.4885728251381,53,51
16,Sun Belt Conference,1695.0319281502302,68,90
17,Big West Conference,1690.5061229211626,50,59
18,Big South Conference,1685.5800011120198,49,62
19,Coastal Athletic Association,1668.5312189071444,72,92
20,Mid-American Conference,1662.4985788631675,55,84
21,America East Conference,1656.1886012429131,54,59
22,Big Sky Conference,1638.919328128351,46,66
23,Summit League,1622.474221694635,37,67
24,Horizon League,1598.5580905303464,41,67
25,ASUN Conference,1593.7612419466923,47,97
26,Ohio Valley Conference,1537.5499261081802,31,76
27,Metro Atlantic Athletic Conference,1535.9666733318252,42,68
28,Southland Conference,1509.5981750488543,25,76
29,Mid-Eastern Athletic Conference,1436.729952488666,26,81
30,Southwestern Athletic Conference,1414.0478307617495,21,115
31,Northeast Conference,1411.1664089551123,28,80
32,Patriot League,1389.093323379291,26,90
