rank,conference,avg_elo,wins,losses
1,Big 12 Conference,2184.5130144723057,105,34
2,Big Ten Conference,2176.7212606171547,138,40
3,Pac-12 Conference,2126.5430467388373,125,41
4,Atlantic Coast Conference,2123.547151249051,150,61
5,Big East Conference,2115.234981335746,96,37
6,Southeastern Conference,2072.256989458175,140,60
7,American Athletic Conference,2031.5481289946724,101,39
8,Atlantic 10 Conference,1991.8256558072821,131,59
9,West Coast Conference,1930.4535648998544,77,46
10,Mountain West Conference,1918.286378556741,82,51
11,Missouri Valley Conference,1858.9173675713566,67,53
12,Mid-American Conference,1754.1019985291261,75,64
13,Conference USA,1745.6119443753614,111,104
14,Horizon League,1721.910588148396,52,65
15,Big West Conference,1681.3177727207506,45,71
16,Sun Belt Conference,1672.4118311967372,40,63
17,Colonial Athletic Association,1667.3348196856855,55,72
18,Summit League,1666.1329153289528,47,63
19,Ivy League,1639.2769531226957,59,60
20,Western Athletic Conference,1619.0449445992538,43,73
21,Metro Atlantic Athletic Conference,1603.6703364001366,53,66
22,Ohio Valley Conference,1568.1804072596842,60,98
23,Patriot League,1550.713356612404,48,63
24,Southland Conference,1541.6995697012608,36,95
25,Big Sky Conference,1525.0491071631122,23,66
26,ASUN Conference,1508.8340575369693,40,75
27,Big South Conference,1496.7463528954113,42,98
28,Southern Conference,1476.4015699618428,34,94
29,Northeast Conference,1457.00502162607,43,89
30,Mid-Eastern Athletic Conference,1389.8005971403154,27,126
31,Southwestern Athletic Conference,1384.722559741972,14,84
32,America East Conference,1375.6088132696395,30,79
