season,rank,team,rating,wins,losses,best_win_name,best_win_elo
2006,488,E Oregon,1073.0185526379958,0,1,NA,NA
2006,489,Florida Tech,1068.9832319400637,0,2,NA,NA
2006,490,Slippery Rock,1063.2514815083716,0,1,NA,NA
2006,491,Brevard,1062.6235267936245,0,2,NA,NA
2006,492,Shenandoah,1054.9225351350137,0,1,NA,NA
2006,493,Greensboro,1052.915203897539,0,1,NA,NA
2006,494,Texas College,1049.944905699814,0,2,NA,NA
2006,495,Sul Ross,1049.5132617732381,0,1,NA,NA
2006,496,Susqueha,1048.8423188656593,0,1,NA,NA
2006,497,Spring Hill,1047.383974277613,0,4,NA,NA
2006,498,William Carey,1046.7769019432224,0,2,NA,NA
2006,499,MD-Eastern,1044.7821648977208,7,22,Utah Valley,1404.46857975983
2006,500,Monterrey Tech,1039.824739637353,0,1,NA,NA
2006,501,Hobart,1038.424949040889,0,1,NA,NA
2006,502,Wilberforce,1037.7804929014937,0,1,NA,NA
2006,503,Toccoa Falls,1034.3136183447814,0,2,NA,NA
2006,504,ND Coll,1030.32295009752,0,2,NA,NA
2006,505,Mercer,1030.2786029928732,9,19,FAU,1405.7227912479038
2006,506,Ferrum,1025.92416038222,0,2,NA,NA
2006,507,TX A&M-Intl,1023.5395799922417,0,2,NA,NA
2006,508,NC A&T,1018.0260898246611,6,23,FAMU,1391.3245630466295
2006,509,Texas St,1004.154554052685,3,24,UTSA,1523.9443198467125
2006,510,Maine-Ft Kent,1002.3501855335908,0,1,NA,NA
2006,511,LA Christian,997.1600630856102,0,3,NA,NA
2006,512,Hope Inter.,995.2171649222576,0,2,NA,NA
2006,513,Joh. & Wales CO,994.8880597178322,0,3,NA,NA
2006,514,Harris Stowe,977.2508567936987,0,1,NA,NA
2006,515,Cin Christian,977.0432475071556,0,1,NA,NA
2006,516,MT Tech,976.674833953654,0,2,NA,NA
2006,517,Lynchburg,975.7166109808593,0,1,NA,NA
2006,518,North Florida,970.3541485590779,6,22,Kennesaw St,1400.0513950927023
2006,519,Montreat,957.0169126453126,0,4,NA,NA
2006,520,Colorado Coll,956.740492826054,0,1,NA,NA
2006,521,Prairie View,949.5231228898011,5,24,Grambling,1311.2114181686995
2006,522,Webber Int,947.2388882346629,1,2,Savannah State,669.0835243276018
2006,523,Southern VA,945.290073377879,0,2,NA,NA
2006,524,Cent Methodist,935.2124557023837,0,2,NA,NA
2006,525,Philander Smith,933.3915314123958,0,2,NA,NA
2006,526,CO Springs,933.2221769989972,0,4,NA,NA
2006,527,SUNY Maritime,932.7476425128646,0,1,NA,NA
2006,528,Polytechnic,906.3470263065077,0,1,NA,NA
2006,529,PR Mayaguez,901.6972915433372,0,4,NA,NA
2006,530,N Greenville,898.1159621167171,0,1,NA,NA
2006,531,Asbury,891.4370293903926,0,3,NA,NA
2006,532,Johnson FL,859.7078433417604,0,2,NA,NA
2006,533,Rochester Univ.,854.8567634718715,0,3,NA,NA
2006,534,Jarvis Chr,854.1234699070828,0,3,NA,NA
2006,535,Virginia-Wise,851.6153407671529,0,3,NA,NA
2006,536,CCNY,849.4830649956982,0,2,NA,NA
2006,537,Atlanta Christian,848.4929547318945,0,2,NA,NA
2006,538,Belhaven,844.9544612438991,0,5,NA,NA
2006,539,Morgan St,832.8505002033645,4,26,Norfolk St,1339.8414299775047
2006,540,Lock Haven,831.8555630983728,0,2,NA,NA
2006,541,Concordia (NY),822.1778175104806,0,2,NA,NA
2006,542,ME-Machias,813.8929486483211,0,2,NA,NA
2006,543,Paul Quinn,793.3239572719091,0,3,NA,NA
2006,544,Kentucky Chr,787.7373997826762,0,2,NA,NA
2006,545,Jacksonville,786.6561307251627,1,26,North Florida,970.3541485590779
2006,546,TX-Tyler,772.1408282718784,0,3,NA,NA
2006,547,Hus-Till,746.4793346226426,0,3,NA,NA
2006,548,Savannah State,669.0835243276018,2,28,Longwood,1238.2678067209729
