rank,team,rating,record,best_win,best_win_elo
1,Long Island,1574.3,14-8,Missouri St,1529.3
2,C Connecticut,1332.7,11-10,Rutgers,1652.6
3,Le Moyne,1253.2,11-12,Long Island,1574.3
4,Mercyhurst,1243.4,11-12,C Connecticut,1332.7
5,New Haven,1183.2,10-12,UMass Lowell,1171.6
6,Wagner,1093.3,7-13,Manhattan,1225.4
7,FDU,1039.5,7-16,C Connecticut,1332.7
8,Stonehill,1032.3,9-14,C Connecticut,1332.7
9,Saint Francis,1013.7,6-15,Wagner,1093.3
10,Chicago St,917.2,3-19,Mercyhurst,1243.4
