rank,conference,avg_elo,wins,losses
1,Atlantic Coast Conference,2261.187402889301,98,24
2,Southeastern Conference,2132.504780199853,99,30
3,Big East Conference,2079.5388891505954,138,45
4,Big 12 Conference,2025.3178460862962,102,40
5,Big Ten Conference,1983.3653974723863,76,49
6,Mountain West Conference,1922.7574123599497,57,37
7,Conference USA,1919.2566918419943,103,65
8,Pac-12 Conference,1918.9105318960949,57,36
9,Atlantic 10 Conference,1855.5519603269938,90,66
10,Missouri Valley Conference,1786.998426151495,65,52
11,Western Athletic Conference,1776.1254646353073,77,70
12,West Coast Conference,1762.5809001955415,56,53
13,Horizon League,1681.7756822568347,39,64
14,Colonial Athletic Association,1674.92500366603,46,46
15,Mid-American Conference,1646.2920189139493,46,60
16,Big West Conference,1635.9829808533357,36,49
17,Sun Belt Conference,1589.156472121293,59,89
18,Southern Conference,1570.2751424970227,32,83
19,ASUN Conference,1557.5123608117606,33,82
20,Metro Atlantic Athletic Conference,1547.220903128196,42,54
21,Big Sky Conference,1527.4264764903394,26,65
22,America East Conference,1436.1118884666696,37,52
23,Patriot League,1405.2776526477815,33,58
24,Ivy League,1396.9181382980094,29,70
25,Northeast Conference,1378.1514237954555,32,62
26,Southwestern Athletic Conference,1215.7916535929212,13,58
27,Mid-Eastern Athletic Conference,1191.3144707937138,13,75
