rank,conference,avg_elo,wins,losses
1,Big 12 Conference,2228.155465547794,107,29
2,Atlantic Coast Conference,2172.927854673174,161,48
3,Pac-12 Conference,2141.8822511313374,112,40
4,Big East Conference,2119.5783789551233,101,34
5,Big Ten Conference,2091.4423656430304,133,53
6,Southeastern Conference,2029.795145205098,117,65
7,American Athletic Conference,1953.8586016383708,89,51
8,Atlantic 10 Conference,1935.0110240814197,115,63
9,Mountain West Conference,1862.9070218019592,73,55
10,Colonial Athletic Association,1830.6085061112929,60,44
11,Mid-American Conference,1791.394904861132,82,58
12,Missouri Valley Conference,1770.4080760664601,60,58
13,West Coast Conference,1745.555583266536,61,53
14,Big West Conference,1741.1869987658831,54,63
15,Summit League,1739.3881373177696,59,51
16,Horizon League,1683.616741850298,51,62
17,Sun Belt Conference,1654.5190997055756,44,55
18,Southern Conference,1649.7992604301037,47,65
19,Ivy League,1638.372770894139,57,56
20,Conference USA,1615.4106946710451,70,94
21,Big South Conference,1579.5347298455908,34,64
22,Ohio Valley Conference,1577.1718209937696,60,92
23,Metro Atlantic Athletic Conference,1559.6572545740746,45,67
24,Western Athletic Conference,1553.420050414821,42,69
25,ASUN Conference,1535.1761469716296,38,76
26,Big Sky Conference,1499.2552247537371,35,83
27,America East Conference,1484.6181654099396,50,74
28,Patriot League,1472.6103418060266,41,74
29,Southland Conference,1442.500355698998,25,92
30,Mid-Eastern Athletic Conference,1337.7467970776654,26,132
31,Northeast Conference,1332.0387251334134,30,85
32,Southwestern Athletic Conference,1317.4613531626812,18,92
