rank,team,rating,record,best_win,best_win_elo
1,UConn,2552.7,27-3,Florida,2418.9
2,Villanova,2241.6,23-7,Wisconsin,2122.3
3,St John's,2236,25-6,UConn,2552.7
4,Seton Hall,2092.7,20-11,NC State,2137.2
5,Butler,1938.6,15-15,Virginia,2314.6
6,Creighton,1932.1,15-16,UConn,2552.7
7,Xavier,1923,14-16,West Virginia,2041.8
8,Georgetown,1879.5,13-17,Clemson,2146.9
9,Providence,1879,14-16,St John's,2236
10,DePaul,1786.5,16-14,Seton Hall,2092.7
11,Marquette,1695.4,11-19,Butler,1938.6
