rank,conference,avg_elo,wins,losses
1,Big Ten Conference,2170.744326825248,101,37
2,Big East Conference,2169.9209480218774,161,48
3,Big 12 Conference,2124.7167953212793,126,41
4,Atlantic Coast Conference,2043.8839274293282,120,53
5,Pac-12 Conference,2021.5691658954186,90,46
6,Mountain West Conference,2016.2516617233873,85,39
7,Southeastern Conference,2016.0525966566113,112,55
8,Conference USA,1862.187495686787,98,61
9,Atlantic 10 Conference,1840.5823893851248,107,85
10,Missouri Valley Conference,1809.0929384293333,77,55
11,Horizon League,1799.7512298865968,64,54
12,Colonial Athletic Association,1779.3016140854534,75,60
13,West Coast Conference,1769.6216174402011,57,60
14,Ivy League,1671.208801435581,54,54
15,Western Athletic Conference,1668.9468696647625,85,100
16,Mid-American Conference,1608.6938772880394,61,96
17,Metro Atlantic Athletic Conference,1604.5576222974992,55,68
18,Big West Conference,1604.2257132794057,31,66
19,Sun Belt Conference,1591.6882831255955,61,98
20,Big Sky Conference,1583.9118232980165,31,60
21,Southern Conference,1574.8498667352974,44,87
22,Summit League,1557.7094192898428,37,81
23,ASUN Conference,1537.613299339199,38,114
24,Patriot League,1503.1498783942661,43,70
25,Northeast Conference,1497.2027577975148,49,85
26,America East Conference,1436.1550955734556,48,88
27,Mid-Eastern Athletic Conference,1425.5150392374428,22,84
28,Southwestern Athletic Conference,1247.4953663037534,7,94
