rank,team,rating,record,best_win,best_win_elo
1,High Point,1766.7,26-4,Winthrop,1677.6
2,Winthrop,1677.6,20-9,High Point,1766.7
3,UNC Asheville,1454.9,13-15,Lipscomb,1563.6
4,Radford,1329.6,15-14,Longwood,1321.7
5,Longwood,1321.7,15-15,Winthrop,1677.6
6,Charleston So,1312.4,13-16,Richmond,1763.6
7,Presbyterian,1304.8,14-15,ETSU,1686.9
8,SC Upstate,1287.1,12-17,Fresno St,1655.6
9,Gardner-Webb,789.6,3-26,SC Upstate,1287.1
