rank,team,rating,record,best_win,best_win_elo
1,Utah Valley,1802.1,16-6,CA Baptist,1792
2,CA Baptist,1792,16-6,Utah Valley,1802.1
3,UT Arlington,1687.8,14-7,SF Austin,1873.6
4,Tarleton St,1625.3,11-11,CA Baptist,1792
5,Utah Tech,1525.3,13-11,Tarleton St,1625.3
6,Abilene Chrstn,1416.5,10-11,Utah Valley,1802.1
7,Southern Utah,1261.7,8-15,Utah Valley,1802.1
