rank,conference,avg_elo,wins,losses
1,Big East Conference,2091.3871961305313,154,53
2,Atlantic Coast Conference,2084.4992461599245,115,40
3,Southeastern Conference,2082.009065178657,112,40
4,Big Ten Conference,2081.9819136668707,91,33
5,Big 12 Conference,2015.3274933440357,84,38
6,Pac-12 Conference,1990.9775359050984,76,31
7,Missouri Valley Conference,1898.799575451887,78,42
8,Mountain West Conference,1836.2970790538284,54,43
9,Atlantic 10 Conference,1793.8986391071567,85,78
10,West Coast Conference,1744.7716130480399,48,53
11,Colonial Athletic Association,1740.7711952492534,70,50
12,Western Athletic Conference,1722.7467184786274,69,81
13,Mid-American Conference,1693.0003738936837,49,51
14,Conference USA,1688.2095679906831,69,75
15,Metro Atlantic Athletic Conference,1670.8027868940717,44,48
16,Horizon League,1661.8072537270355,50,66
17,Big Sky Conference,1644.1365969643257,33,43
18,Sun Belt Conference,1586.2962183838965,56,89
19,Big West Conference,1569.6497323778271,26,49
20,Southern Conference,1559.2832829992326,49,84
21,Patriot League,1525.7038436030518,38,59
22,Ivy League,1465.831677026054,37,62
23,Northeast Conference,1413.5138475490521,32,65
24,America East Conference,1381.8494204487936,29,66
25,ASUN Conference,1333.3779443597414,23,90
26,Southwestern Athletic Conference,1262.8954048017363,7,69
27,Mid-Eastern Athletic Conference,1249.1683697194358,13,93
