rank,team,rating,record,best_win,best_win_elo
1,BAL,1859.7,14-5,SF,1799.2
2,SF,1799.2,14-6,DET,1705.1
3,KC,1794.5,15-6,BAL,1859.7
4,BUF,1740.5,12-7,KC,1794.5
5,DET,1705.1,14-6,KC,1794.5
6,GB,1658,10-9,KC,1794.5
7,PIT,1608.2,10-8,BAL,1859.7
8,HOU,1605.3,11-8,PIT,1608.2
9,CIN,1604.8,9-8,SF,1799.2
10,DAL,1592.3,12-6,DET,1705.1
11,LA,1590.9,10-8,SF,1799.2
12,TB,1560.2,10-9,GB,1658
13,MIA,1552.9,11-7,DAL,1592.3
14,LV,1542.8,8-9,KC,1794.5
15,CLE,1524.9,11-7,BAL,1859.7
16,NO,1519.5,9-8,TB,1560.2
17,SEA,1508.1,9-8,DET,1705.1
18,CHI,1483.4,7-10,DET,1705.1
19,DEN,1481.5,8-9,KC,1794.5
20,JAX,1478.5,9-8,BUF,1740.5
21,IND,1453.5,9-8,BAL,1859.7
22,MIN,1445.8,7-10,SF,1799.2
23,PHI,1432,11-7,KC,1794.5
24,NYJ,1394,7-10,BUF,1740.5
25,TEN,1370.7,6-11,CIN,1604.8
26,NYG,1363.6,6-11,GB,1658
27,LAC,1342.6,5-12,LV,1542.8
28,ARI,1335.7,4-13,PIT,1608.2
29,ATL,1313.1,7-10,GB,1658
30,NE,1209,4-13,BUF,1740.5
31,WAS,1137.2,4-13,DEN,1481.5
32,CAR,992.9,2-15,HOU,1605.3
