rank,team,rating,record,best_win,best_win_elo
1,NE,2211.3,17-2,PIT,2093.4
2,PIT,2093.4,16-2,NE,2211.3
3,IND,1783,13-5,SD,1751.8
4,BUF,1758.2,9-7,NYJ,1749.4
5,SD,1751.8,12-5,DEN,1608.6
6,NYJ,1749.4,11-7,BUF,1758.2
7,BAL,1726.1,9-7,PIT,2093.4
8,PHI,1708.5,15-4,BAL,1726.1
9,CIN,1657.7,8-8,BAL,1726.1
10,DEN,1608.6,10-7,IND,1783
11,KC,1587.4,7-9,IND,1783
12,GB,1478.5,10-7,HOU,1473.9
13,HOU,1473.9,7-9,KC,1587.4
14,ATL,1472.4,12-6,SD,1751.8
15,NO,1470.7,8-8,KC,1587.4
16,JAX,1470.3,9-7,IND,1783
17,CAR,1469.2,7-9,KC,1587.4
18,MIN,1416.4,9-9,GB,1478.5
19,CLE,1412.3,4-12,BAL,1726.1
20,WAS,1377.8,6-10,MIN,1416.4
21,SEA,1368.5,9-8,ATL,1472.4
22,STL,1361.9,9-9,NYJ,1749.4
23,NYG,1340.1,6-10,GB,1478.5
24,MIA,1321.1,4-12,NE,2211.3
25,DAL,1314.3,6-10,CLE,1412.3
26,DET,1306.4,6-10,HOU,1473.9
27,TEN,1306.3,5-11,CIN,1657.7
28,ARI,1304,6-10,NO,1470.7
29,OAK,1278.8,5-11,BUF,1758.2
30,TB,1271.6,5-11,KC,1587.4
31,CHI,1204.5,5-11,GB,1478.5
32,SF,945.6,2-14,ARI,1304
