rank,team,rating,record,best_win,best_win_elo
1,SD,1914.1,14-3,BUF,1656.6
2,IND,1907.5,16-4,NE,1839.5
3,NE,1839.5,14-5,SD,1914.1
4,BAL,1800.3,13-4,SD,1914.1
5,CHI,1701.5,15-4,BUF,1656.6
6,BUF,1656.6,7-9,JAX,1653.5
7,JAX,1653.5,8-8,IND,1907.5
8,TEN,1637.8,8-8,IND,1907.5
9,PHI,1615.7,11-7,GB,1525.2
10,CIN,1595.2,8-8,BAL,1800.3
11,PIT,1589.5,8-8,CIN,1595.2
12,NYJ,1588.3,10-7,NE,1839.5
13,DEN,1575.5,9-7,NE,1839.5
14,KC,1570.3,9-8,SD,1914.1
15,NO,1530,11-7,PHI,1615.7
16,MIA,1529.4,6-10,NE,1839.5
17,GB,1525.2,8-8,CHI,1701.5
18,NYG,1442.7,8-9,PHI,1615.7
19,DAL,1442,9-8,IND,1907.5
20,CAR,1422.6,8-8,BAL,1800.3
21,HOU,1419.9,6-10,IND,1907.5
22,SEA,1410.3,10-8,DEN,1575.5
23,STL,1405.8,8-8,DEN,1575.5
24,SF,1373.5,7-9,DEN,1575.5
25,ARI,1319.7,5-11,SEA,1410.3
26,ATL,1292.4,7-9,CIN,1595.2
27,MIN,1288.9,6-10,CAR,1422.6
28,WAS,1281.2,5-11,JAX,1653.5
29,DET,1207.5,3-13,BUF,1656.6
30,CLE,1184.6,4-12,NYJ,1588.3
31,TB,1175.6,4-12,PHI,1615.7
32,OAK,1103.1,2-14,PIT,1589.5
