rank,team,rating,record,best_win,best_win_elo
1,PIT,1898.1,15-4,BAL,1819.1
2,BAL,1819.1,13-6,PHI,1768.4
3,PHI,1768.4,12-7,PIT,1898.1
4,IND,1764.3,12-5,PIT,1898.1
5,TEN,1760.7,13-4,PIT,1898.1
6,NYG,1725.9,12-5,PIT,1898.1
7,NE,1695.9,11-5,ARI,1662.2
8,ARI,1662.2,12-8,PHI,1768.4
9,SD,1648.7,9-9,IND,1764.3
10,ATL,1628.3,11-6,SD,1648.7
11,MIA,1622.5,11-6,NE,1695.9
12,MIN,1619.9,10-7,NYG,1725.9
13,CAR,1614.5,12-5,ARI,1662.2
14,DAL,1573.2,9-7,PHI,1768.4
15,NO,1541.5,8-8,SD,1648.7
16,WAS,1509.4,8-8,PHI,1768.4
17,CHI,1507.2,9-7,PHI,1768.4
18,HOU,1506.1,8-8,TEN,1760.7
19,TB,1477.4,9-7,ATL,1628.3
20,NYJ,1459.4,9-7,TEN,1760.7
21,GB,1416.6,6-10,IND,1764.3
22,SF,1413.5,7-9,WAS,1509.4
23,OAK,1380.7,5-11,HOU,1506.1
24,CIN,1378.2,4-12,WAS,1509.4
25,BUF,1357.6,7-9,SD,1648.7
26,DEN,1350,8-8,SD,1648.7
27,SEA,1305.3,4-12,NYJ,1459.4
28,CLE,1296.8,4-12,NYG,1725.9
29,JAX,1291.3,5-11,IND,1764.3
30,KC,1147,2-14,OAK,1380.7
31,STL,1076.9,2-14,DAL,1573.2
32,DET,783.4,0-16,NA,NA
