rank,team,rating,record,best_win,best_win_elo
1,PIT,1959.6,15-5,DEN,1869.9
2,DEN,1869.9,14-4,KC,1748.8
3,IND,1851.2,14-3,PIT,1959.6
4,SEA,1849.7,15-4,IND,1851.2
5,KC,1748.8,10-6,DEN,1869.9
6,SD,1729.1,9-7,IND,1851.2
7,NE,1709.7,11-7,PIT,1959.6
8,WAS,1707.2,11-7,SEA,1849.7
9,CAR,1703.8,13-6,NE,1709.7
10,JAX,1683.7,12-5,PIT,1959.6
11,NYG,1625.1,11-6,DEN,1869.9
12,CIN,1600.9,11-6,PIT,1959.6
13,TB,1571.2,11-6,WAS,1707.2
14,CHI,1566.7,11-6,CAR,1703.8
15,MIN,1556.6,9-7,NYG,1625.1
16,DAL,1512.1,9-7,KC,1748.8
17,MIA,1510.4,9-7,DEN,1869.9
18,BAL,1433,6-10,PIT,1959.6
19,ATL,1427.3,8-8,MIN,1556.6
20,CLE,1398.3,6-10,CHI,1566.7
21,BUF,1353.4,5-11,KC,1748.8
22,PHI,1348.5,6-10,KC,1748.8
23,GB,1310,4-12,SEA,1849.7
24,NYJ,1309.6,4-12,TB,1571.2
25,STL,1309,6-10,JAX,1683.7
26,ARI,1283.5,5-11,PHI,1348.5
27,OAK,1266.9,4-12,WAS,1707.2
28,DET,1264,5-11,BAL,1433
29,TEN,1206.2,4-12,BAL,1433
30,SF,1154.5,4-12,TB,1571.2
31,HOU,1092.5,2-14,CLE,1398.3
32,NO,1087.5,3-13,CAR,1703.8
