rank,team,rating,record,best_win,best_win_elo
1,KC,1956.7,15-4,SF,1891.4
2,SF,1891.4,15-4,GB,1762.6
3,BAL,1866.5,14-3,SF,1891.4
4,GB,1762.6,14-4,KC,1956.7
5,NO,1733.8,13-4,TEN,1732.1
6,TEN,1732.1,11-8,KC,1956.7
7,MIN,1651.8,11-7,NO,1733.8
8,NE,1628.4,12-5,BUF,1511.4
9,LA,1617.4,9-7,NO,1733.8
10,SEA,1615.5,12-6,SF,1891.4
11,ATL,1614.7,7-9,SF,1891.4
12,HOU,1595.7,11-7,KC,1956.7
13,DEN,1544.4,7-9,TEN,1732.1
14,TB,1515.3,7-9,LA,1617.4
15,BUF,1511.4,10-7,TEN,1732.1
16,CHI,1506.2,8-8,MIN,1651.8
17,DAL,1500.2,8-8,LA,1617.4
18,PHI,1491.8,9-8,GB,1762.6
19,PIT,1455.1,8-8,LA,1617.4
20,ARI,1432.1,5-11,SEA,1615.5
21,IND,1401,7-9,KC,1956.7
22,NYJ,1392.7,7-9,BUF,1511.4
23,OAK,1369.6,7-9,DEN,1544.4
24,LAC,1364.1,5-11,GB,1762.6
25,JAX,1363.6,6-10,TEN,1732.1
26,CLE,1362.9,6-10,BAL,1866.5
27,CAR,1295.7,5-11,TEN,1732.1
28,MIA,1249.6,5-11,NE,1628.4
29,CIN,1225.3,2-14,NYJ,1392.7
30,NYG,1172.1,4-12,TB,1515.3
31,DET,1128.4,4-12,PHI,1491.8
32,WAS,1052,3-13,CAR,1295.7
