rank,team,rating,record,best_win,best_win_elo
1,SEA,2090.2,16-3,SF,1912.1
2,SF,1912.1,14-5,SEA,2090.2
3,DEN,1834.8,15-4,NE,1740.4
4,ARI,1821,10-6,SEA,2090.2
5,CAR,1765,12-5,SF,1912.1
6,NO,1762.5,12-6,SF,1912.1
7,NE,1740.4,13-5,DEN,1834.8
8,SD,1669.1,10-8,DEN,1834.8
9,STL,1627.1,7-9,ARI,1821
10,IND,1620.5,12-6,SEA,2090.2
11,CIN,1603.5,11-6,NE,1740.4
12,PHI,1574.8,10-7,ARI,1821
13,KC,1560.7,11-6,PHI,1574.8
14,PIT,1519,8-8,CIN,1603.5
15,DAL,1479.9,8-8,STL,1627.1
16,TEN,1462.9,7-9,SD,1669.1
17,NYG,1460.5,7-9,PHI,1574.8
18,BAL,1417.4,8-8,CIN,1603.5
19,MIA,1414,8-8,NE,1740.4
20,NYJ,1392.6,8-8,NO,1762.5
21,TB,1391.9,4-12,MIA,1414
22,CHI,1384.6,8-8,CIN,1603.5
23,BUF,1383.3,6-10,CAR,1765
24,DET,1366.5,7-9,DAL,1479.9
25,GB,1360.7,8-9,DAL,1479.9
26,MIN,1359.8,6-10,PHI,1574.8
27,ATL,1318.9,4-12,STL,1627.1
28,OAK,1175.9,4-12,SD,1669.1
29,JAX,1175.7,4-12,TEN,1462.9
30,CLE,1168.3,4-12,CIN,1603.5
31,WAS,1165.5,3-13,SD,1669.1
32,HOU,1020.7,2-14,SD,1669.1
