rank,team,rating,record,best_win,best_win_elo
1,KC,1800.7,14-6,BUF,1703.5
2,LA,1775.8,16-5,SF,1695.7
3,BUF,1703.5,12-7,KC,1800.7
4,SF,1695.7,12-8,LA,1775.8
5,CIN,1688.1,13-8,KC,1800.7
6,GB,1688,13-5,LA,1775.8
7,TB,1677.4,14-5,BUF,1703.5
8,DAL,1656.7,12-6,MIN,1559.8
9,TEN,1646.7,12-6,KC,1800.7
10,MIA,1574.6,9-8,NE,1539.8
11,IND,1568.5,9-8,BUF,1703.5
12,MIN,1559.8,8-9,GB,1688
13,PIT,1547.8,9-9,BUF,1703.5
14,NE,1539.8,10-8,BUF,1703.5
15,SEA,1537,7-10,SF,1695.7
16,NO,1526.3,9-8,GB,1688
17,LV,1519.1,10-8,DAL,1656.7
18,LAC,1514.5,9-8,KC,1800.7
19,PHI,1503.4,9-9,NO,1526.3
20,ARI,1497.3,11-7,LA,1775.8
21,CLE,1493.9,8-9,CIN,1688.1
22,BAL,1476.8,8-9,KC,1800.7
23,WAS,1395.5,7-10,TB,1677.4
24,DEN,1386.5,7-10,DAL,1656.7
25,CHI,1373,6-11,CIN,1688.1
26,ATL,1310.6,7-10,MIA,1574.6
27,DET,1296.4,4-13,GB,1688
28,HOU,1277.2,4-13,TEN,1646.7
29,CAR,1239.2,5-12,NO,1526.3
30,NYG,1220.7,4-13,NO,1526.3
31,NYJ,1167.8,4-13,CIN,1688.1
32,JAX,1141.8,3-14,BUF,1703.5
