rank,team,rating,record,best_win,best_win_elo
1,NE,2217.2,18-1,DAL,1828.4
2,DAL,1828.4,13-4,NYG,1823.1
3,NYG,1823.1,14-6,NE,2217.2
4,IND,1808.6,13-4,JAX,1680.7
5,GB,1786.6,14-4,NYG,1823.1
6,SD,1772.8,13-6,IND,1808.6
7,WAS,1728.8,9-8,DAL,1828.4
8,PHI,1704.9,8-8,DAL,1828.4
9,JAX,1680.7,12-6,SD,1772.8
10,MIN,1650.3,8-8,NYG,1823.1
11,CHI,1598.1,7-9,GB,1786.6
12,HOU,1588.3,8-8,JAX,1680.7
13,SEA,1584.2,11-7,WAS,1728.8
14,PIT,1518.4,10-7,SEA,1584.2
15,TEN,1504.9,10-7,IND,1808.6
16,CLE,1500.8,10-6,HOU,1588.3
17,DET,1462.5,7-9,MIN,1650.3
18,TB,1458.4,9-8,WAS,1728.8
19,NO,1441.3,7-9,JAX,1680.7
20,DEN,1419,7-9,MIN,1650.3
21,CAR,1418.5,7-9,SEA,1584.2
22,ARI,1413.9,8-8,SEA,1584.2
23,BUF,1378.4,7-9,WAS,1728.8
24,CIN,1376.8,7-9,TEN,1504.9
25,OAK,1295.7,4-12,CLE,1500.8
26,SF,1212.6,5-11,TB,1458.4
27,ATL,1210,4-12,HOU,1588.3
28,BAL,1182,5-11,PIT,1518.4
29,NYJ,1181.6,4-12,PIT,1518.4
30,KC,1174.9,4-12,SD,1772.8
31,STL,1147.7,3-13,NO,1441.3
32,MIA,930.8,1-15,BAL,1182
